player_id,player_name,team_id,team_name,competition_id,season_id,role,minutes,metric,latent_dimension,raw_metric_value,selected_normalization,normalized_metric_value,oriented_metric_score,percentile_rank,role_benchmark_band,direction
138918,Marwan Louadni,2838,FAR Rabat,1229,318,CB,1607.0668,ball_recoveries_90,CB_D7,9.688458,min_max,58.800847276924706,58.800847276924706,65.38461538461539,Average,higher_is_better
314452,Zouhair Marour,36100,US Yacoub El Mansour,1229,318,CB,2187.6167,ball_recoveries_90,CB_D7,10.984556,min_max,81.92766741722036,81.92766741722036,92.3076923076923,Good,higher_is_better
314466,Mohamed Saoud,2839,Ittihad Tanger,1229,318,CB,2195.433,ball_recoveries_90,CB_D7,10.494513,min_max,73.18362466581506,73.18362466581506,73.07692307692307,Average,higher_is_better
442093,Yassine Fatine,2365,Difaâ El Jadida,1229,318,CB,1008.3,ball_recoveries_90,CB_D7,6.962214,min_max,10.155332318518603,10.155332318518603,7.6923076923076925,Very Poor,higher_is_better
202502,Soulaimane El Amrani,6992,Hassania Agadir,1229,318,CB,1117.3333,ball_recoveries_90,CB_D7,7.6521487,min_max,22.46612649878031,22.46612649878031,15.384615384615385,Poor,higher_is_better
409303,Faraji Karmoune,6989,Olympic Safi,1229,318,CB,1912.9167,ball_recoveries_90,CB_D7,11.997385,min_max,100.0,100.0,100.0,Excellent,higher_is_better
157113,Badr Gaddarine,2839,Ittihad Tanger,1229,318,CB,1892.25,ball_recoveries_90,CB_D7,10.796671,min_max,78.575156571544,78.575156571544,88.46153846153845,Good,higher_is_better
139023,Amine Aboulfath,6994,Wydad Casablanca,1229,318,CB,1608.4166,ball_recoveries_90,CB_D7,7.8337913,min_max,25.70725158346964,25.70725158346964,19.230769230769234,Poor,higher_is_better
313283,Tahar Ahmed Madeira El Khalej,11935,UTS Rabat,1229,318,CB,1015.96655,ball_recoveries_90,CB_D7,9.124316,min_max,48.73462499466929,48.73462499466929,46.15384615384615,Average,higher_is_better
131244,Ismaël Kandouss,2762,RSB Berkane,1229,318,CB,2149.25,ball_recoveries_90,CB_D7,10.594394,min_max,74.96584323449802,74.96584323449802,76.92307692307693,Average,higher_is_better
419744,Driss El Jabali,6995,Maghreb Fès,1229,318,CB,1346.0168,ball_recoveries_90,CB_D7,9.294089,min_max,51.76395582897225,51.76395582897225,50.0,Average,higher_is_better
338916,Johnstone Omurwa,36099,KAC Marrakech,1229,318,CB,1145.9666,ball_recoveries_90,CB_D7,8.481923,min_max,37.272137304398214,37.272137304398214,26.923076923076923,Poor,higher_is_better
363239,Bilal Soufi,18552,Renaissance Zemamra,1229,318,CB,1606.9667,ball_recoveries_90,CB_D7,8.904976,min_max,44.82084939315423,44.82084939315423,38.46153846153847,Average,higher_is_better
138958,Mouad Bahsain,6992,Hassania Agadir,1229,318,CB,1506.3167,ball_recoveries_90,CB_D7,6.393078,min_max,0.0,0.0,3.8461538461538463,Very Poor,higher_is_better
138958,Mouad Bahsain,2761,FUS Rabat,1229,318,CB,515.7833,ball_recoveries_90,CB_D7,9.597054,min_max,57.16988737412137,57.16988737412137,61.53846153846154,Average,higher_is_better
477678,Cheick Keita,2889,Olympique Dcheïra,1229,318,CB,1643.9834,ball_recoveries_90,CB_D7,10.67529,min_max,76.40930448670997,76.40930448670997,80.76923076923077,Good,higher_is_better
523290,Achraf Zine,36100,US Yacoub El Mansour,1229,318,CB,1219.8333,ball_recoveries_90,CB_D7,8.706108,min_max,41.27236427269242,41.27236427269242,30.76923076923077,Average,higher_is_better
138871,Karim El Bounagat,25917,CODM Meknès,1229,318,CB,2001.0168,ball_recoveries_90,CB_D7,9.400221,min_max,53.65771361204874,53.65771361204874,57.692307692307686,Average,higher_is_better
524512,Reda Ait Boughima,18552,Renaissance Zemamra,1229,318,CB,1352.4501,ball_recoveries_90,CB_D7,11.445894,min_max,90.1595148160156,90.1595148160156,96.15384615384616,Excellent,higher_is_better
139556,Bilal El Ouadghiri,2839,Ittihad Tanger,1229,318,CB,1500.8333,ball_recoveries_90,CB_D7,9.294837,min_max,51.77730270665043,51.77730270665043,53.84615384615385,Average,higher_is_better
407555,James Monday Ajako,18552,Renaissance Zemamra,1229,318,CB,1626.8003,ball_recoveries_90,CB_D7,10.788049,min_max,78.42131060985777,78.42131060985777,84.61538461538461,Good,higher_is_better
7378,Yunis Abdelhamid,2838,FAR Rabat,1229,318,CB,937.7833,aerial_ratio,CB_D3,0.8,winsorized_z_score,100.0,100.0,100.0,Excellent,higher_is_better
49760,Adil Rhaili,6995,Maghreb Fès,1229,318,CB,1269.3834,aerial_ratio,CB_D3,0.7894736842105263,winsorized_z_score,100.0,100.0,96.15384615384616,Excellent,higher_is_better
3252,Oussama Haddadi,2762,RSB Berkane,1229,318,CB,1504.85,aerial_ratio,CB_D3,0.7555555555555555,winsorized_z_score,89.55268688081658,89.55268688081658,92.3076923076923,Good,higher_is_better
138998,Abdellah Khafifi,2349,Raja Casablanca,1229,318,CB,1950.3999,aerial_ratio,CB_D3,0.7027027027027027,winsorized_z_score,67.84668186649577,67.84668186649577,73.07692307692307,Average,higher_is_better
67700,Badr Banoun,2349,Raja Casablanca,1229,318,CB,1769.8834,aerial_ratio,CB_D3,0.64,winsorized_z_score,42.09546682677877,42.09546682677877,38.46153846153847,Average,higher_is_better
138918,Marwan Louadni,2838,FAR Rabat,1229,318,CB,1607.0668,aerial_ratio,CB_D3,0.6792452830188679,winsorized_z_score,58.21301326022555,58.21301326022555,65.38461538461539,Average,higher_is_better
314452,Zouhair Marour,36100,US Yacoub El Mansour,1229,318,CB,2187.6167,aerial_ratio,CB_D3,0.6547619047619048,winsorized_z_score,48.157996311703926,48.157996311703926,46.15384615384615,Average,higher_is_better
314466,Mohamed Saoud,2839,Ittihad Tanger,1229,318,CB,2195.433,aerial_ratio,CB_D3,0.6774193548387096,winsorized_z_score,57.46312741499695,57.46312741499695,61.53846153846154,Average,higher_is_better
442093,Yassine Fatine,2365,Difaâ El Jadida,1229,318,CB,1008.3,aerial_ratio,CB_D3,0.5333333333333333,winsorized_z_score,0.0,0.0,7.6923076923076925,Very Poor,higher_is_better
202502,Soulaimane El Amrani,6992,Hassania Agadir,1229,318,CB,1117.3333,aerial_ratio,CB_D3,0.6304347826086957,winsorized_z_score,38.16715178886092,38.16715178886092,34.61538461538461,Average,higher_is_better
409303,Faraji Karmoune,6989,Olympic Safi,1229,318,CB,1912.9167,aerial_ratio,CB_D3,0.4146341463414634,winsorized_z_score,0.0,0.0,3.8461538461538463,Very Poor,higher_is_better
