role,metric,grouping,status,group_value,ks_statistic,wasserstein_distance,mean_shift,median_shift,variance_shift,percentile_shift
CF,prototype_role_score,team_id,computed,2838,0.41304347826086957,10.263277838978201,4.381306754667541,9.228451826658592,425.2078508834003,1.3995573131455359
CF,prototype_role_score,team_id,computed,36100,,,-9.835984961888467,-4.988839889897417,,-23.775620403382764
CF,prototype_role_score,team_id,computed,2349,,,-23.638874191069483,-18.791729119078433,,-37.57850963256378
CF,prototype_role_score,team_id,computed,2761,,,-29.652372244766095,-24.805227172775044,,-43.592007686260395
CF,prototype_role_score,team_id,computed,2839,0.5217391304347826,19.074781148738154,14.126749062032822,22.148093421951415,-463.4137247858686,4.993888243046527
CF,prototype_role_score,team_id,computed,6992,,,25.281996186069797,30.129141258060848,,11.342360744575501
CF,prototype_role_score,team_id,computed,2762,0.36231884057971014,11.129101063980757,-9.310925573000041,-12.184564963382272,-233.76216863144668,-17.166329192666847
CF,prototype_role_score,team_id,computed,2889,,,-16.696353667111403,-11.849208595120352,,-30.6359891086057
CF,prototype_role_score,team_id,computed,11935,0.5652173913043478,35.79041450995834,35.79041450995833,40.63755958194938,1299.7312325567782,36.99642822251356
CF,prototype_role_score,team_id,computed,6995,,,9.41878760656833,14.26593267855938,,-4.520847834925966
CF,prototype_role_score,team_id,computed,18552,,,-31.282916076101195,-26.435771004110144,,-45.22255151759549
CF,prototype_role_score,minutes_bucket,computed,0-300,0.0,0.0,0.0,0.0,0.0,0.0
FB,prototype_role_score,season_id,not_enough_groups,,,,,,,
FB,prototype_role_score,competition_id,not_enough_groups,,,,,,,
FB,prototype_role_score,team_id,computed,6994,0.7368421052631579,12.44613655547452,10.756262613032945,12.578292894482942,-117.9102590408671,3.9743427657161803
FB,prototype_role_score,team_id,computed,36099,0.5789473684210527,11.486913316224463,-11.48691331622446,-9.664883034774462,-17.002206772661367,-15.380351855949641
FB,prototype_role_score,team_id,computed,25917,,,28.288413656539674,30.110443937989672,,20.767319514067054
FB,prototype_role_score,team_id,computed,2365,,,-5.081232181089014,-3.2592018996390166,,-12.602326323561634
FB,prototype_role_score,team_id,computed,2838,0.2894736842105263,5.04103957346393,1.007333734207947,2.8293640156579443,28.697862098205334,-2.1695235614752093
FB,prototype_role_score,team_id,computed,36100,,,11.237041941757255,13.059072223207252,,3.715947799284635
FB,prototype_role_score,team_id,computed,2349,,,,,,
FB,prototype_role_score,team_id,computed,2761,0.5789473684210527,8.314702725463444,2.7892238537885063,4.611254135238504,-119.34447460209414,-4.125981112789887
FB,prototype_role_score,team_id,computed,2839,,,-10.85982605252589,-9.037795771075892,,-18.38092019499851
FB,prototype_role_score,team_id,computed,6992,,,-9.902441021081842,-8.080410739631844,,-17.42353516355446
FB,prototype_role_score,team_id,computed,2762,0.42105263157894735,5.1396307447782705,-0.0141121545085241,0.14001410356382848,-95.74742869064089,-5.479965100303701
FB,prototype_role_score,team_id,computed,2889,,,,,,
FB,prototype_role_score,team_id,computed,6989,0.47368421052631576,7.220039995385067,-3.1955775817807535,-1.3735473003307561,-118.50802377732862,-10.029898074087995
FB,prototype_role_score,team_id,computed,11935,,,-13.38027848612295,-11.558248204672953,,-20.90137262859557
FB,prototype_role_score,team_id,computed,6995,,,,,,
FB,prototype_role_score,minutes_bucket,computed,0-300,0.0,0.0,0.0,0.0,0.0,0.0
GK,prototype_role_score,season_id,not_enough_groups,,,,,,,
GK,prototype_role_score,competition_id,not_enough_groups,,,,,,,
GK,prototype_role_score,team_id,computed,6994,,,-17.857142857142854,-17.857142857142854,,-41.07142857142856
GK,prototype_role_score,team_id,computed,36099,0.5714285714285714,28.571428571428577,28.57142857142857,28.57142857142857,-255.1020408163265,14.285714285714292
GK,prototype_role_score,team_id,computed,25917,,,39.28571428571429,39.28571428571429,,16.071428571428584
GK,prototype_role_score,team_id,computed,2365,,,17.85714285714286,17.85714285714286,,-5.357142857142847
GK,prototype_role_score,team_id,computed,2838,,,-46.42857142857142,-46.42857142857142,,-69.64285714285714
GK,prototype_role_score,team_id,computed,36100,,,-24.999999999999996,-24.999999999999996,,-48.21428571428571
GK,prototype_role_score,team_id,computed,2349,,,-10.714285714285715,-10.714285714285715,,-33.92857142857142
GK,prototype_role_score,team_id,computed,2839,0.2857142857142857,12.75510204081633,-3.5714285714285694,-3.5714285714285694,739.795918367347,-12.5
GK,prototype_role_score,team_id,computed,6992,,,-3.5714285714285694,-3.5714285714285694,,-26.785714285714278
GK,prototype_role_score,team_id,computed,2889,,,-39.285714285714285,-39.285714285714285,,-62.49999999999999
GK,prototype_role_score,team_id,computed,11935,,,32.14285714285714,32.14285714285714,,8.92857142857143
GK,prototype_role_score,team_id,computed,6995,,,3.5714285714285765,3.5714285714285765,,-19.64285714285713
GK,prototype_role_score,minutes_bucket,computed,0-300,0.0,0.0,0.0,0.0,0.0,0.0
MID,prototype_role_score,season_id,not_enough_groups,,,,,,,
MID,prototype_role_score,competition_id,not_enough_groups,,,,,,,
MID,prototype_role_score,team_id,computed,36099,0.45,5.526152467598273,-0.2686977355086313,4.208504539915332,23.339106839219795,-1.754767691860195
MID,prototype_role_score,team_id,computed,6994,0.475,7.521049267262174,-0.6818881030179256,-0.643520922043912,-111.9137560601512,-6.36596755976619
MID,prototype_role_score,team_id,computed,2365,0.45,8.482386367940968,6.902187722966595,6.940554903940608,176.9498056541615,6.886873136615392
MID,prototype_role_score,team_id,computed,25917,0.35,6.038634266723192,0.9700110582172883,1.0083782391913019,-77.78404766481034,-2.9695037506437174
MID,prototype_role_score,team_id,computed,2838,0.44166666666666665,6.123874219911251,3.2221833858489575,9.294213777497617,78.14715523976793,5.094123475364746
MID,prototype_role_score,team_id,computed,36100,0.525,7.996004858174821,6.8154941320065845,6.853861312980598,-22.069330795392204,4.150455449762248
MID,prototype_role_score,team_id,computed,2349,0.375,6.946627562154181,-0.05730449449299613,-0.018937313518982535,-108.0380423092952,-5.312543513759621
MID,prototype_role_score,team_id,computed,2761,0.30833333333333335,6.685864269907661,5.0311164458112,-0.057346047970852965,281.13173498490016,7.388502356800387
MID,prototype_role_score,team_id,computed,2839,0.2,2.5661337967279527,0.1725282835880222,0.42061099918461764,-11.680447903491398,-1.661265604103363
MID,prototype_role_score,team_id,computed,6992,,,-6.568940986521163,-6.530573805547149,,-12.603453928276807
MID,prototype_role_score,team_id,computed,2889,0.575,9.299966150556912,7.411075035726256,10.749962243392574,-78.56296035069084,4.7591884542006255
MID,prototype_role_score,team_id,computed,2762,0.425,8.86949249292822,2.4071508756917055,2.445518056665719,398.08437669414786,4.3646696044001985
MID,prototype_role_score,team_id,computed,11935,,,-14.725842607164672,-14.687475426190659,,-20.760355548920316
MID,prototype_role_score,team_id,computed,6989,0.75,11.388957502454577,-10.740438162823175,-10.702070981849161,-101.00977007998276,-15.556016375015552
MID,prototype_role_score,team_id,computed,6995,0.65,8.966440419993159,-8.763114984894166,-7.424610554589911,-81.00515340307949,-11.75813540345137
MID,prototype_role_score,team_id,computed,18552,0.425,7.322704786252941,-0.6114657914008745,-0.5730986104268609,-111.06527680953882,-6.167581896063119
MID,prototype_role_score,minutes_bucket,computed,0-300,0.0,0.0,0.0,0.0,0.0,0.0
WINGER,prototype_role_score,season_id,not_enough_groups,,,,,,,
WINGER,prototype_role_score,competition_id,not_enough_groups,,,,,,,
WINGER,prototype_role_score,team_id,computed,6994,,,17.222565764565125,18.583560714898717,,3.2827551503030037
WINGER,prototype_role_score,team_id,computed,36099,,,,,,
WINGER,prototype_role_score,team_id,computed,25917,,,18.793221342423415,20.154216292757006,,4.853410728161293
WINGER,prototype_role_score,team_id,computed,2365,,,-29.220835244976243,-27.85984029464265,,-43.160645859238365
WINGER,prototype_role_score,team_id,computed,2838,0.7222222222222222,19.572707861669933,-19.116754652340553,-17.755759702006962,-236.9969100265241,-30.056314412267035
WINGER,prototype_role_score,team_id,computed,36100,0.2777777777777778,9.055751681110237,-5.144117976647777,-3.783123026314186,-118.9024715980259,-14.209166033358613
WINGER,prototype_role_score,team_id,computed,2349,,,1.249619216241058,2.610614166574649,,-12.690191398021064
WINGER,prototype_role_score,team_id,computed,2761,0.5555555555555556,13.918286967548543,-4.690397831146832,-3.329402880813241,-309.00522276589516,-18.608619176770908
WINGER,prototype_role_score,team_id,computed,6992,,,-9.824228398610792,-8.463233448277201,,-23.764039012872914
WINGER,prototype_role_score,team_id,computed,2762,0.6111111111111112,19.991028488970414,19.99102848897042,21.46169644411092,-120.14806220990397,12.531118591826257
WINGER,prototype_role_score,team_id,computed,11935,,,,,,
WINGER,prototype_role_score,team_id,computed,6995,,,-19.280244398134386,-17.919249447800794,,-33.22005501239651
WINGER,prototype_role_score,team_id,computed,18552,0.4444444444444444,10.587580297307325,-0.5008356585597227,0.8601592917738685,-284.9164147397047,-12.705259543647585
WINGER,prototype_role_score,minutes_bucket,computed,0-300,0.0,0.0,0.0,0.0,0.0,0.0
