role,player_id,player_name,flag,matches,minutes
MID,138860,Youssef Michte,low_minutes_reliability,1,89.316666
MID,138872,Oussama Mahrous,insufficient_match_history,2,206.68333
MID,138872,Oussama Mahrous,low_minutes_reliability,2,206.68333
MID,138873,Abdelghafour Lamirat,insufficient_match_history,1,80.88333
MID,138873,Abdelghafour Lamirat,low_minutes_reliability,1,80.88333
MID,138983,Zine Eddine Derrag,insufficient_match_history,1,98.11667
MID,138983,Zine Eddine Derrag,low_minutes_reliability,1,98.11667
MID,139565,Larbi Naji,insufficient_match_history,1,96.1
MID,139565,Larbi Naji,low_minutes_reliability,1,96.1
MID,140872,Mohamed Rabie Hrimat,insufficient_match_history,1,98.11667
MID,140872,Mohamed Rabie Hrimat,low_minutes_reliability,1,98.11667
MID,141254,Hamza Afsal,insufficient_match_history,1,18.85
MID,141254,Hamza Afsal,low_minutes_reliability,1,18.85
MID,143166,Zakaria Fati,insufficient_match_history,1,98.11667
MID,143166,Zakaria Fati,low_minutes_reliability,1,98.11667
MID,144436,Anas Serrhat,insufficient_match_history,1,102.96667
MID,144436,Anas Serrhat,low_minutes_reliability,1,102.96667
MID,151743,Mohamed Al Makahasi,insufficient_match_history,1,102.96667
MID,151743,Mohamed Al Makahasi,low_minutes_reliability,1,102.96667
MID,194912,Faouzi Mutalib,insufficient_match_history,2,193.06667
MID,194912,Faouzi Mutalib,low_minutes_reliability,2,193.06667
MID,21648,Anas Tahiri,insufficient_match_history,1,31.833334
MID,21648,Anas Tahiri,low_minutes_reliability,1,31.833334
MID,312413,Soulaimane El Bouchqali,insufficient_match_history,1,11.983334
MID,312413,Soulaimane El Bouchqali,low_minutes_reliability,1,11.983334
MID,313284,Achraf Harmach,insufficient_match_history,1,93.61667
MID,313284,Achraf Harmach,low_minutes_reliability,1,93.61667
MID,407207,Ennaama El Bellali,insufficient_match_history,2,144.06667
MID,407207,Ennaama El Bellali,low_minutes_reliability,2,144.06667
MID,407506,Oussama Nourdine,insufficient_match_history,1,80.63333
MID,407506,Oussama Nourdine,low_minutes_reliability,1,80.63333
MID,407852,Abdessamad Mahir,insufficient_match_history,1,102.96667
MID,407852,Abdessamad Mahir,low_minutes_reliability,1,102.96667
MID,415853,Gnolou Claude,insufficient_match_history,2,173.61666
MID,415853,Gnolou Claude,low_minutes_reliability,2,173.61666
MID,416303,El Mahdi Akoumi,insufficient_match_history,1,104.95
MID,416303,El Mahdi Akoumi,low_minutes_reliability,1,104.95
MID,424979,Soufiane Tazi,insufficient_match_history,1,78.51667
MID,424979,Soufiane Tazi,low_minutes_reliability,1,78.51667
MID,442288,Adnane Berdad,insufficient_match_history,1,96.1
