role,player_id,sensitivity_type,removed_entity,score_variation,abs_score_variation
CB,338916,remove_metric_proxy,obv_pass_90,-0.22561554567158737,0.22561554567158737
CB,363239,remove_metric_proxy,obv_pass_90,0.20893710069220361,0.20893710069220361
CB,138958,remove_metric_proxy,obv_pass_90,-0.05577609075374568,0.05577609075374568
CB,138958,remove_metric_proxy,obv_pass_90,-0.24656459460047842,0.24656459460047842
CB,477678,remove_metric_proxy,obv_pass_90,0.5321294152844445,0.5321294152844445
CB,523290,remove_metric_proxy,obv_pass_90,0.19496241247699686,0.19496241247699686
CB,138871,remove_metric_proxy,obv_pass_90,-0.03201782171122858,0.03201782171122858
CB,524512,remove_metric_proxy,obv_pass_90,-0.13601694513752705,0.13601694513752705
CB,139556,remove_metric_proxy,obv_pass_90,-0.41885342097172895,0.41885342097172895
CB,407555,remove_metric_proxy,obv_pass_90,-0.536389483589474,0.536389483589474
CB,7378,remove_metric_proxy,op_xgbuildup_90,-0.5211988004120727,0.5211988004120727
CB,49760,remove_metric_proxy,op_xgbuildup_90,-0.6924693443388392,0.6924693443388392
CB,3252,remove_metric_proxy,op_xgbuildup_90,-0.5044575708769372,0.5044575708769372
CB,138998,remove_metric_proxy,op_xgbuildup_90,-0.6815288724742459,0.6815288724742459
CB,67700,remove_metric_proxy,op_xgbuildup_90,-0.5785906759733663,0.5785906759733663
CB,138918,remove_metric_proxy,op_xgbuildup_90,-0.9809582217351789,0.9809582217351789
CB,314452,remove_metric_proxy,op_xgbuildup_90,-0.11282043850880541,0.11282043850880541
CB,314466,remove_metric_proxy,op_xgbuildup_90,0.22943816765193503,0.22943816765193503
CB,442093,remove_metric_proxy,op_xgbuildup_90,0.7511788452506387,0.7511788452506387
CB,202502,remove_metric_proxy,op_xgbuildup_90,0.6971388782607519,0.6971388782607519
CB,409303,remove_metric_proxy,op_xgbuildup_90,0.29684058223239873,0.29684058223239873
CB,157113,remove_metric_proxy,op_xgbuildup_90,0.49663565539748333,0.49663565539748333
CB,139023,remove_metric_proxy,op_xgbuildup_90,0.028822470902539976,0.028822470902539976
CB,313283,remove_metric_proxy,op_xgbuildup_90,0.22427681987370107,0.22427681987370107
CB,131244,remove_metric_proxy,op_xgbuildup_90,-0.4384181239793037,0.4384181239793037
CB,419744,remove_metric_proxy,op_xgbuildup_90,-0.1283694344751538,0.1283694344751538
CB,338916,remove_metric_proxy,op_xgbuildup_90,-0.048749232739332626,0.048749232739332626
CB,363239,remove_metric_proxy,op_xgbuildup_90,0.5444043212910046,0.5444043212910046
CB,138958,remove_metric_proxy,op_xgbuildup_90,0.9809582217351718,0.9809582217351718
CB,138958,remove_metric_proxy,op_xgbuildup_90,-0.28430472432249587,0.28430472432249587
CB,477678,remove_metric_proxy,op_xgbuildup_90,0.4238623533588637,0.4238623533588637
CB,523290,remove_metric_proxy,op_xgbuildup_90,-0.05063348160658876,0.05063348160658876
CB,138871,remove_metric_proxy,op_xgbuildup_90,0.1771143612492878,0.1771143612492878
CB,524512,remove_metric_proxy,op_xgbuildup_90,-0.04854171634426052,0.04854171634426052
CB,139556,remove_metric_proxy,op_xgbuildup_90,-0.0726037611438457,0.0726037611438457
CB,407555,remove_metric_proxy,op_xgbuildup_90,0.046125862351928504,0.046125862351928504
CB,131244,metric_value_perturbation,all_metrics_noise,-3.3612887673855383,3.3612887673855383
CB,131244,normalization_method_proxy,rank_vs_z_proxy,-0.38117437443061847,0.38117437443061847
CB,138871,metric_value_perturbation,all_metrics_noise,3.412787344438655,3.412787344438655
CB,138871,normalization_method_proxy,rank_vs_z_proxy,0.38124219957959726,0.38124219957959726
CB,138918,metric_value_perturbation,all_metrics_noise,0.8961701164029847,0.8961701164029847
CB,138918,normalization_method_proxy,rank_vs_z_proxy,-0.8603877251633762,0.8603877251633762
CB,138958,metric_value_perturbation,all_metrics_noise,0.0894900136432426,0.0894900136432426
CB,138958,normalization_method_proxy,rank_vs_z_proxy,0.7275407214518683,0.7275407214518683
CB,138998,metric_value_perturbation,all_metrics_noise,-1.0552748242242416,1.0552748242242416
CB,138998,normalization_method_proxy,rank_vs_z_proxy,-0.20196219399563944,0.20196219399563944
CB,139023,metric_value_perturbation,all_metrics_noise,2.1581827663599142,2.1581827663599142
CB,139023,normalization_method_proxy,rank_vs_z_proxy,0.5315729487896388,0.5315729487896388
CB,139556,metric_value_perturbation,all_metrics_noise,5.383490908705717,5.383490908705717
CB,139556,normalization_method_proxy,rank_vs_z_proxy,-0.4802807482784733,0.4802807482784733
CB,157113,metric_value_perturbation,all_metrics_noise,-1.3980674092216816,1.3980674092216816
CB,157113,normalization_method_proxy,rank_vs_z_proxy,-0.2583664842862749,0.2583664842862749
CB,202502,metric_value_perturbation,all_metrics_noise,1.1478002900481457,1.1478002900481457
CB,202502,normalization_method_proxy,rank_vs_z_proxy,0.8331860671272789,0.8331860671272789
CB,313283,metric_value_perturbation,all_metrics_noise,-3.746976963557316,3.746976963557316
CB,313283,normalization_method_proxy,rank_vs_z_proxy,0.33103347189213644,0.33103347189213644
CB,314452,metric_value_perturbation,all_metrics_noise,1.506059670573137,1.506059670573137
CB,314452,normalization_method_proxy,rank_vs_z_proxy,-0.2114315660940921,0.2114315660940921
CB,314466,metric_value_perturbation,all_metrics_noise,1.7891144335001243,1.7891144335001243
CB,314466,normalization_method_proxy,rank_vs_z_proxy,-0.23797388329542885,0.23797388329542885
CB,3252,metric_value_perturbation,all_metrics_noise,-1.8220314394955537,1.8220314394955537
CB,3252,normalization_method_proxy,rank_vs_z_proxy,-0.44319469227868463,0.44319469227868463
CB,338916,metric_value_perturbation,all_metrics_noise,0.26019382027984506,0.26019382027984506
CB,338916,normalization_method_proxy,rank_vs_z_proxy,0.09055296265789572,0.09055296265789572
CB,363239,metric_value_perturbation,all_metrics_noise,0.5379092731426596,0.5379092731426596
CB,363239,normalization_method_proxy,rank_vs_z_proxy,-0.05919748683038826,0.05919748683038826
CB,407555,metric_value_perturbation,all_metrics_noise,4.0181827764589855,4.0181827764589855
CB,407555,normalization_method_proxy,rank_vs_z_proxy,-0.25135325367297273,0.25135325367297273
CB,409303,metric_value_perturbation,all_metrics_noise,1.6183159972645882,1.6183159972645882
CB,409303,normalization_method_proxy,rank_vs_z_proxy,-0.3331597689808614,0.3331597689808614
CB,419744,metric_value_perturbation,all_metrics_noise,3.039574371824564,3.039574371824564
CB,419744,normalization_method_proxy,rank_vs_z_proxy,-0.12172969236561003,0.12172969236561003
CB,442093,metric_value_perturbation,all_metrics_noise,1.5244165691998894,1.5244165691998894
CB,442093,normalization_method_proxy,rank_vs_z_proxy,0.9197917591561448,0.9197917591561448
CB,477678,metric_value_perturbation,all_metrics_noise,-0.9962446598847237,0.9962446598847237
CB,477678,normalization_method_proxy,rank_vs_z_proxy,0.09680459015546888,0.09680459015546888
CB,49760,metric_value_perturbation,all_metrics_noise,-6.227362038747813,6.227362038747813
CB,49760,normalization_method_proxy,rank_vs_z_proxy,-0.37446209172276995,0.37446209172276995
CB,523290,metric_value_perturbation,all_metrics_noise,3.9100363389574397,3.9100363389574397
CB,523290,normalization_method_proxy,rank_vs_z_proxy,-0.008417456153323856,0.008417456153323856
CB,524512,metric_value_perturbation,all_metrics_noise,-0.00708879561835829,0.00708879561835829
CB,524512,normalization_method_proxy,rank_vs_z_proxy,-0.8603911634986403,0.8603911634986403
CB,67700,metric_value_perturbation,all_metrics_noise,-1.2233664197026215,1.2233664197026215
CB,67700,normalization_method_proxy,rank_vs_z_proxy,-0.40527204780359655,0.40527204780359655
CB,7378,metric_value_perturbation,all_metrics_noise,4.420393477237532,4.420393477237532
CB,7378,normalization_method_proxy,rank_vs_z_proxy,0.11751844026910341,0.11751844026910341
FB,135851,remove_dimension,FB_D1,1.4235483499882733,1.4235483499882733
FB,138910,remove_dimension,FB_D1,-0.07842909622074501,0.07842909622074501
FB,138927,remove_dimension,FB_D1,-5.2829324345509505,5.2829324345509505
FB,138945,remove_dimension,FB_D1,5.2192607175054135,5.2192607175054135
FB,138949,remove_dimension,FB_D1,7.093553053537242,7.093553053537242
FB,138956,remove_dimension,FB_D1,1.9132074818791125,1.9132074818791125
FB,139560,remove_dimension,FB_D1,3.9593945100075416,3.9593945100075416
FB,140876,remove_dimension,FB_D1,-2.738118542637544,2.738118542637544
FB,142789,remove_dimension,FB_D1,7.215320651502843,7.215320651502843
FB,152015,remove_dimension,FB_D1,-0.9137757444702999,0.9137757444702999
FB,178342,remove_dimension,FB_D1,2.3774437098733046,2.3774437098733046
FB,261620,remove_dimension,FB_D1,-1.0658761278018645,1.0658761278018645
FB,313287,remove_dimension,FB_D1,6.420615917783003,6.420615917783003
FB,314451,remove_dimension,FB_D1,-3.694642354802781,3.694642354802781
FB,337496,remove_dimension,FB_D1,-2.195471580485126,2.195471580485126
FB,339278,remove_dimension,FB_D1,4.927739318488371,4.927739318488371
FB,406864,remove_dimension,FB_D1,0.007340177505433587,0.007340177505433587
FB,442100,remove_dimension,FB_D1,4.634568111867409,4.634568111867409
FB,442286,remove_dimension,FB_D1,3.9812661910606053,3.9812661910606053
FB,522352,remove_dimension,FB_D1,-3.197147819439273,3.197147819439273
FB,523293,remove_dimension,FB_D1,-1.6752062308915328,1.6752062308915328
FB,523318,remove_dimension,FB_D1,-3.298200844554632,3.298200844554632
FB,81364,remove_dimension,FB_D1,2.845870863350534,2.845870863350534
FB,135851,remove_dimension,FB_D2,7.028103973313726,7.028103973313726
FB,138910,remove_dimension,FB_D2,-1.7251595815084073,1.7251595815084073
FB,138927,remove_dimension,FB_D2,-5.6440244605867775,5.6440244605867775
FB,138945,remove_dimension,FB_D2,2.8321499117434143,2.8321499117434143
FB,138949,remove_dimension,FB_D2,-4.461524651237021,4.461524651237021
FB,138956,remove_dimension,FB_D2,7.6010933507450105,7.6010933507450105
FB,139560,remove_dimension,FB_D2,5.83028668448766,5.83028668448766
FB,140876,remove_dimension,FB_D2,0.8759364716711602,0.8759364716711602
FB,142789,remove_dimension,FB_D2,4.064518922519618,4.064518922519618
FB,152015,remove_dimension,FB_D2,-0.14119239970914776,0.14119239970914776
FB,178342,remove_dimension,FB_D2,-0.3524565814281928,0.3524565814281928
FB,261620,remove_dimension,FB_D2,-5.018072289866552,5.018072289866552
FB,313287,remove_dimension,FB_D2,-7.285641653897457,7.285641653897457
FB,314451,remove_dimension,FB_D2,2.0297576941253865,2.0297576941253865
FB,337496,remove_dimension,FB_D2,-2.802817373054154,2.802817373054154
FB,339278,remove_dimension,FB_D2,-3.3758523714232354,3.3758523714232354
FB,406864,remove_dimension,FB_D2,2.573909928486607,2.573909928486607
FB,442100,remove_dimension,FB_D2,3.349662262869579,3.349662262869579
FB,442286,remove_dimension,FB_D2,-1.205228128044503,1.205228128044503
FB,522352,remove_dimension,FB_D2,-3.8632992612286543,3.8632992612286543
FB,523293,remove_dimension,FB_D2,-5.793665202741003,5.793665202741003
FB,523318,remove_dimension,FB_D2,3.393836011213814,3.393836011213814
FB,81364,remove_dimension,FB_D2,-0.4928391136039778,0.4928391136039778
FB,135851,remove_dimension,FB_D3,-0.8305166639196884,0.8305166639196884
