role_family,metric,n,mean,median,std,mad,iqr,cv,p5,p10,p25,p50,p75,p90,p95,min,max,missing_pct,outlier_pct,skewness,kurtosis,heavy_tails,multimodal,mode_count,modality_method,shapiro_stat,shapiro_p
CB,op_xgbuildup_90,25,0.2643119988,0.2739575,0.09606994388640945,0.07515095999999999,0.14172542000000002,0.36347174673331345,0.121889984,0.14199939200000003,0.20738304,0.2739575,0.34910846,0.388032704,0.397656552,0.07551536,0.45368624,0.0,0.0,0.018199268798707192,-0.5217202303066997,False,False,1,histogram_peaks=1;bins=5,0.9801896216663261,0.8888408611233425
FB,ball_recoveries_90,23,8.90528965652174,8.771746,1.3424726642995939,1.0596189999999996,1.9295665,0.15075002791362788,6.83605295,6.92929652,8.0369685,8.771746,9.966535,10.3489416,10.5473608,6.747099,11.736653,0.0,0.0,0.04413859124871794,-0.5847286360456789,False,True,2,histogram_peaks=2;bins=5,0.9653537991541555,0.5793509959419622
FB,box_cross_ratio,23,0.35026583789093524,0.35294117647058826,0.1923323546708334,0.13071895424836605,0.24206349206349206,0.5491039486720406,0.0642857142857143,0.14505494505494504,0.23015873015873015,0.35294117647058826,0.4722222222222222,0.6133333333333334,0.6410714285714286,0.0,0.75,0.0,0.0,0.24855645611089675,-0.40960894128672587,False,False,1,histogram_peaks=0;bins=5,0.9852277765553763,0.9734210380209269
FB,counterpressures_90,23,2.5522660739130436,2.840565,0.730911153025501,0.49346469999999965,1.2636244999999997,0.286377333655066,1.56114651,1.61346458,1.8649179500000002,2.840565,3.12854245,3.3190656400000003,3.5462517599999996,1.4881566,3.8172607,0.0,0.0,-0.027683182730850093,-1.4471353062868673,False,True,2,histogram_peaks=2;bins=5,0.9174261223900129,0.05869325420161642
FB,dribble_ratio,23,0.6421343773913044,0.625,0.1652026111569784,0.125,0.22567871499999992,0.25727108993622233,0.38660716,0.444117648,0.533936685,0.625,0.7596153999999999,0.845714296,0.895714287,0.375,1.0,0.0,0.0,0.294267178290874,-0.4404791922482012,False,True,2,histogram_peaks=2;bins=5,0.9784742229379936,0.8786031926833016
FB,key_passes_90,23,0.637994986521739,0.6477215,0.2576068600577299,0.17308893999999997,0.34609985499999996,0.4037756808437745,0.348463028,0.37310828,0.431294575,0.6477215,0.77739443,1.0141780400000002,1.1240612799999998,0.14774887,1.1493846,0.0,0.0,0.3823047179076468,-0.14959418360755183,False,False,1,histogram_peaks=0;bins=5,0.9595330274405748,0.45400098253311916
FB,obv_dribble_carry_90,23,0.06336144817391304,0.05865127,0.021070898731635642,0.009421994999999996,0.01964353499999999,0.3325507755725647,0.037358244299999996,0.0458505884,0.0493813575,0.05865127,0.06902489249999999,0.09020577,0.10632261599999998,0.035730947,0.1197685,0.0,8.695652173913043,1.2709421364365838,1.5128473915126621,False,True,2,histogram_peaks=2;bins=5,0.8918028830496636,0.017197762398230124
FB,obv_pass_90,23,0.10587383504347826,0.114041984,0.05458250135940846,0.040144294,0.07435967,0.5155428755083213,0.0467730256,0.052644911200000005,0.06386017000000001,0.114041984,0.13821984,0.176140224,0.19024925799999998,-0.026682692,0.20334692,0.0,0.0,-0.23966723426970937,0.1998243317523012,False,False,1,histogram_peaks=1;bins=5,0.9729287845863308,0.7586364031672836
FB,op_f3_passes_90,23,7.240599569565218,6.574614,2.4277199926951485,2.291392,3.5790170000000012,0.3352926742282101,3.8146233300000003,4.39955364,5.42641,6.574614,9.005427000000001,10.1589254,11.086278299999998,3.2455094,11.884301,0.0,0.0,0.23601523827634463,-0.9570046631327052,False,True,2,histogram_peaks=2;bins=5,0.9591160825319266,0.44575121090312425
MID,ball_recoveries_90,34,9.896941014705883,9.9109205,2.2284016352678155,1.640244,3.21358925,0.22516064630036994,6.830330635,7.5479058,8.1785965,9.9109205,11.39218575,12.414306799999999,13.52148285,5.447609,15.787806,0.0,0.0,0.3501464094792635,0.3704063512319413,False,False,1,histogram_peaks=1;bins=5,0.9829856377505212,0.8610484249562325
