source_path,dataset_guess,file_type,file_count,row_count_if_readable,size_mb,modified_at,competition_count_if_detectable,season_count_if_detectable,match_count_if_detectable,columns,status
/home/platform/DataPlatform/lake/bronze/competitions/provider=statsbomb/season_id=315/competition_id=1333.json,competition_metadata,json,1,1,0.001,2026-06-28T00:04:31.647308,1,1,0,competition_id;entity;ingested_at;ingestion_timestamp;provider;raw_checksum;raw_json;records_count;season_id;source_endpoint;source_path;source_version,readable
/home/platform/DataPlatform/lake/bronze/competitions/provider=statsbomb/season_id=315/competition_id=1445.json,competition_metadata,json,1,1,0.001,2026-06-28T00:04:31.594308,1,1,0,competition_id;entity;ingested_at;ingestion_timestamp;provider;raw_checksum;raw_json;records_count;season_id;source_endpoint;source_path;source_version,readable
/home/platform/DataPlatform/lake/bronze/competitions/provider=statsbomb/season_id=315/competition_id=1470.json,competition_metadata,json,1,1,0.001,2026-06-28T00:04:31.628308,1,1,0,competition_id;entity;ingested_at;ingestion_timestamp;provider;raw_checksum;raw_json;records_count;season_id;source_endpoint;source_path;source_version,readable
/home/platform/DataPlatform/lake/bronze/competitions/provider=statsbomb/season_id=315/competition_id=1485.json,competition_metadata,json,1,1,0.001,2026-06-28T00:04:31.648308,1,1,0,competition_id;entity;ingested_at;ingestion_timestamp;provider;raw_checksum;raw_json;records_count;season_id;source_endpoint;source_path;source_version,readable
/home/platform/DataPlatform/lake/bronze/competitions/provider=statsbomb/season_id=315/competition_id=1580.json,competition_metadata,json,1,1,0.001,2026-06-28T00:04:31.628308,1,1,0,competition_id;entity;ingested_at;ingestion_timestamp;provider;raw_checksum;raw_json;records_count;season_id;source_endpoint;source_path;source_version,readable
/home/platform/DataPlatform/lake/bronze/competitions/provider=statsbomb/season_id=315/competition_id=1593.json,competition_metadata,json,1,1,0.001,2026-06-28T00:04:31.590307,1,1,0,competition_id;entity;ingested_at;ingestion_timestamp;provider;raw_checksum;raw_json;records_count;season_id;source_endpoint;source_path;source_version,readable
/home/platform/DataPlatform/lake/bronze/competitions/provider=statsbomb/season_id=315/competition_id=254.json,competition_metadata,json,1,1,0.001,2026-06-28T00:04:31.586308,1,1,0,competition_id;entity;ingested_at;ingestion_timestamp;provider;raw_checksum;raw_json;records_count;season_id;source_endpoint;source_path;source_version,readable
/home/platform/DataPlatform/lake/bronze/competitions/provider=statsbomb/season_id=315/competition_id=273.json,competition_metadata,json,1,1,0.001,2026-06-28T00:04:31.592308,1,1,0,competition_id;entity;ingested_at;ingestion_timestamp;provider;raw_checksum;raw_json;records_count;season_id;source_endpoint;source_path;source_version,readable
/home/platform/DataPlatform/lake/bronze/competitions/provider=statsbomb/season_id=315/competition_id=303.json,competition_metadata,json,1,1,0.001,2026-06-28T00:04:31.595308,1,1,0,competition_id;entity;ingested_at;ingestion_timestamp;provider;raw_checksum;raw_json;records_count;season_id;source_endpoint;source_path;source_version,readable
/home/platform/DataPlatform/lake/bronze/competitions/provider=statsbomb/season_id=315/competition_id=305.json,competition_metadata,json,1,1,0.001,2026-06-28T00:04:31.619308,1,1,0,competition_id;entity;ingested_at;ingestion_timestamp;provider;raw_checksum;raw_json;records_count;season_id;source_endpoint;source_path;source_version,readable
/home/platform/DataPlatform/lake/bronze/competitions/provider=statsbomb/season_id=315/competition_id=75.json,competition_metadata,json,1,1,0.001,2026-06-28T00:04:31.589308,1,1,0,competition_id;entity;ingested_at;ingestion_timestamp;provider;raw_checksum;raw_json;records_count;season_id;source_endpoint;source_path;source_version,readable
/home/platform/DataPlatform/lake/bronze/competitions/provider=statsbomb/season_id=315/competition_id=88.json,competition_metadata,json,1,1,0.001,2026-06-28T00:04:31.627308,1,1,0,competition_id;entity;ingested_at;ingestion_timestamp;provider;raw_checksum;raw_json;records_count;season_id;source_endpoint;source_path;source_version,readable
/home/platform/DataPlatform/lake/bronze/competitions/provider=statsbomb/season_id=316/competition_id=1226.json,competition_metadata,json,1,1,0.001,2026-06-28T00:04:31.650307,1,1,0,competition_id;entity;ingested_at;ingestion_timestamp;provider;raw_checksum;raw_json;records_count;season_id;source_endpoint;source_path;source_version,readable
/home/platform/DataPlatform/lake/bronze/competitions/provider=statsbomb/season_id=316/competition_id=1333.json,competition_metadata,json,1,1,0.001,2026-06-28T00:04:31.646307,1,1,0,competition_id;entity;ingested_at;ingestion_timestamp;provider;raw_checksum;raw_json;records_count;season_id;source_endpoint;source_path;source_version,readable
/home/platform/DataPlatform/lake/bronze/competitions/provider=statsbomb/season_id=316/competition_id=1485.json,competition_metadata,json,1,1,0.001,2026-06-28T00:04:31.647308,1,1,0,competition_id;entity;ingested_at;ingestion_timestamp;provider;raw_checksum;raw_json;records_count;season_id;source_endpoint;source_path;source_version,readable
/home/platform/DataPlatform/lake/bronze/competitions/provider=statsbomb/season_id=316/competition_id=1580.json,competition_metadata,json,1,1,0.001,2026-06-28T00:04:31.628308,1,1,0,competition_id;entity;ingested_at;ingestion_timestamp;provider;raw_checksum;raw_json;records_count;season_id;source_endpoint;source_path;source_version,readable
/home/platform/DataPlatform/lake/bronze/competitions/provider=statsbomb/season_id=316/competition_id=255.json,competition_metadata,json,1,1,0.001,2026-06-28T00:04:31.652308,1,1,0,competition_id;entity;ingested_at;ingestion_timestamp;provider;raw_checksum;raw_json;records_count;season_id;source_endpoint;source_path;source_version,readable
/home/platform/DataPlatform/lake/bronze/competitions/provider=statsbomb/season_id=316/competition_id=256.json,competition_metadata,json,1,1,0.001,2026-06-28T00:04:31.651308,1,1,0,competition_id;entity;ingested_at;ingestion_timestamp;provider;raw_checksum;raw_json;records_count;season_id;source_endpoint;source_path;source_version,readable
/home/platform/DataPlatform/lake/bronze/competitions/provider=statsbomb/season_id=316/competition_id=257.json,competition_metadata,json,1,1,0.001,2026-06-28T00:04:31.652308,1,1,0,competition_id;entity;ingested_at;ingestion_timestamp;provider;raw_checksum;raw_json;records_count;season_id;source_endpoint;source_path;source_version,readable
/home/platform/DataPlatform/lake/bronze/competitions/provider=statsbomb/season_id=316/competition_id=259.json,competition_metadata,json,1,1,0.001,2026-06-28T00:04:31.650307,1,1,0,competition_id;entity;ingested_at;ingestion_timestamp;provider;raw_checksum;raw_json;records_count;season_id;source_endpoint;source_path;source_version,readable
/home/platform/DataPlatform/lake/bronze/competitions/provider=statsbomb/season_id=316/competition_id=273.json,competition_metadata,json,1,1,0.001,2026-06-28T00:04:31.591308,1,1,0,competition_id;entity;ingested_at;ingestion_timestamp;provider;raw_checksum;raw_json;records_count;season_id;source_endpoint;source_path;source_version,readable
/home/platform/DataPlatform/lake/bronze/competitions/provider=statsbomb/season_id=316/competition_id=303.json,competition_metadata,json,1,1,0.001,2026-06-28T00:04:31.594308,1,1,0,competition_id;entity;ingested_at;ingestion_timestamp;provider;raw_checksum;raw_json;records_count;season_id;source_endpoint;source_path;source_version,readable
/home/platform/DataPlatform/lake/bronze/competitions/provider=statsbomb/season_id=316/competition_id=43.json,competition_metadata,json,1,1,0.001,2026-06-28T00:04:31.629308,1,1,0,competition_id;entity;ingested_at;ingestion_timestamp;provider;raw_checksum;raw_json;records_count;season_id;source_endpoint;source_path;source_version,readable
/home/platform/DataPlatform/lake/bronze/competitions/provider=statsbomb/season_id=316/competition_id=75.json,competition_metadata,json,1,1,0.001,2026-06-28T00:04:31.587308,1,1,0,competition_id;entity;ingested_at;ingestion_timestamp;provider;raw_checksum;raw_json;records_count;season_id;source_endpoint;source_path;source_version,readable
/home/platform/DataPlatform/lake/bronze/competitions/provider=statsbomb/season_id=316/competition_id=88.json,competition_metadata,json,1,1,0.001,2026-06-28T00:04:31.627308,1,1,0,competition_id;entity;ingested_at;ingestion_timestamp;provider;raw_checksum;raw_json;records_count;season_id;source_endpoint;source_path;source_version,readable
/home/platform/DataPlatform/lake/bronze/competitions/provider=statsbomb/season_id=317/competition_id=10.json,competition_metadata,json,1,1,0.001,2026-06-28T00:04:31.583308,1,1,0,competition_id;entity;ingested_at;ingestion_timestamp;provider;raw_checksum;raw_json;records_count;season_id;source_endpoint;source_path;source_version,readable
/home/platform/DataPlatform/lake/bronze/competitions/provider=statsbomb/season_id=317/competition_id=1035.json,competition_metadata,json,1,1,0.001,2026-06-28T00:04:31.613307,1,1,0,competition_id;entity;ingested_at;ingestion_timestamp;provider;raw_checksum;raw_json;records_count;season_id;source_endpoint;source_path;source_version,readable
