role,player_id,player_name,similar_player_id,similar_player_name,cosine_similarity,euclidean_distance,similarity_score,shared_metrics_count,similarity_confidence,quality_flags,research_only,production_ready
GK,36951,Babacar Niasse,523287,Ismail Sayad,99.321806,8.541582,99.321806,3,medium_research_only,SAME_ROLE_ONLY;RESEARCH_ONLY;SAMPLE_TOO_SMALL_LOCAL_11_MATCHES_NOT_PRODUCTION_READY,True,False
GK,138841,Salaheddine Chihab,138935,Rachid Ghanimi,94.252896,19.232222,94.252896,3,medium_research_only,SAME_ROLE_ONLY;RESEARCH_ONLY;SAMPLE_TOO_SMALL_LOCAL_11_MATCHES_NOT_PRODUCTION_READY,True,False
GK,138841,Salaheddine Chihab,138950,Mehdi Harrar,97.14948,20.638223,97.14948,3,medium_research_only,SAME_ROLE_ONLY;RESEARCH_ONLY;SAMPLE_TOO_SMALL_LOCAL_11_MATCHES_NOT_PRODUCTION_READY,True,False
GK,138841,Salaheddine Chihab,138972,Mahdi Benabid,99.232987,8.379508,99.232987,3,medium_research_only,SAME_ROLE_ONLY;RESEARCH_ONLY;SAMPLE_TOO_SMALL_LOCAL_11_MATCHES_NOT_PRODUCTION_READY,True,False
GK,138841,Salaheddine Chihab,138989,Mohamed Ferni,92.218711,21.672726,92.218711,3,medium_research_only,SAME_ROLE_ONLY;RESEARCH_ONLY;SAMPLE_TOO_SMALL_LOCAL_11_MATCHES_NOT_PRODUCTION_READY,True,False
GK,138841,Salaheddine Chihab,139011,Ahmed Reda Tagnaouti,86.179916,30.700742,86.179916,3,medium_research_only,SAME_ROLE_ONLY;RESEARCH_ONLY;SAMPLE_TOO_SMALL_LOCAL_11_MATCHES_NOT_PRODUCTION_READY,True,False
GK,138841,Salaheddine Chihab,139555,Aymane Majid,99.110659,13.094771,99.110659,3,medium_research_only,SAME_ROLE_ONLY;RESEARCH_ONLY;SAMPLE_TOO_SMALL_LOCAL_11_MATCHES_NOT_PRODUCTION_READY,True,False
GK,138841,Salaheddine Chihab,139572,Amine El Ouaad,96.875952,15.089663,96.875952,3,medium_research_only,SAME_ROLE_ONLY;RESEARCH_ONLY;SAMPLE_TOO_SMALL_LOCAL_11_MATCHES_NOT_PRODUCTION_READY,True,False
GK,138841,Salaheddine Chihab,143162,Mehdi Maftah,98.587716,10.883346,98.587716,3,medium_research_only,SAME_ROLE_ONLY;RESEARCH_ONLY;SAMPLE_TOO_SMALL_LOCAL_11_MATCHES_NOT_PRODUCTION_READY,True,False
GK,138841,Salaheddine Chihab,200507,Abderrahmane Kernane,86.241888,27.239067,86.241888,3,medium_research_only,SAME_ROLE_ONLY;RESEARCH_ONLY;SAMPLE_TOO_SMALL_LOCAL_11_MATCHES_NOT_PRODUCTION_READY,True,False
GK,138841,Salaheddine Chihab,317852,Abderahmane El Houasli,96.225736,16.278478,96.225736,3,medium_research_only,SAME_ROLE_ONLY;RESEARCH_ONLY;SAMPLE_TOO_SMALL_LOCAL_11_MATCHES_NOT_PRODUCTION_READY,True,False
