statsbomb_player_id,player_name,assigned_role,dominant_role,dominant_role_share,lineup_role_minutes,position_examples,season_minutes,threshold_minutes,eligible_for_initial_coefficients,experiment_008_status
138949,Ayoub Boucheta,FB,FB,1.0,98.75,Left Back,1453.0,900.0,True,available_population_recomputed_or_reused_from_role_resolution
140887,Haytham El Bahja,CF,CF,0.9460912941566768,151.783336,Left Center Forward; Left Center Midfield,1497.5667,750.0,True,available_population_recomputed_or_reused_from_role_resolution
138973,Saad Ait Khorsa,UNKNOWN,UNKNOWN,0.0,0.0,,854.5833,,False,available_population_recomputed_or_reused_from_role_resolution
139559,Hamza Hamiani Akbi,UNKNOWN,UNKNOWN,0.0,0.0,,1688.1334,,False,available_population_recomputed_or_reused_from_role_resolution
523318,Younes El Khafi,FB,FB,1.0,96.683334,Left Back,1192.4167,900.0,True,available_population_recomputed_or_reused_from_role_resolution
26404,Guido Rodríguez,UNKNOWN,UNKNOWN,0.0,0.0,,,,False,available_population_recomputed_or_reused_from_role_resolution
7797,Rodrigo Javier De Paul,MULTI_ROLE,MID,0.5082085561592928,130.51666,Right Defensive Midfield; Right Midfield; Right Center Midfield,,,False,available_population_recomputed_or_reused_from_role_resolution
143452,Mohamed Ayman Sadil,UNKNOWN,UNKNOWN,0.0,0.0,,1223.8167,,False,available_population_recomputed_or_reused_from_role_resolution
16308,Leandro Daniel Paredes,MID,MID,1.0,29.166666,Left Center Midfield; Center Defensive Midfield; Right Defensive Midfield,,900.0,False,available_population_recomputed_or_reused_from_role_resolution
134249,Adam Ennaffati,WINGER,WINGER,0.8792837203210192,102.96667,Left Midfield; Right Center Forward,1201.3667,750.0,True,available_population_recomputed_or_reused_from_role_resolution
21573,Mohamed Rayhi,WINGER,WINGER,1.0,61.033333,Left Wing,566.6167,750.0,False,available_population_recomputed_or_reused_from_role_resolution
138982,Jalal Tachtach,UNKNOWN,UNKNOWN,0.0,0.0,Center Defensive Midfield,1185.7333,,False,available_population_recomputed_or_reused_from_role_resolution
149135,Moses Orkuma,MID,MID,1.0,83.85,Center Defensive Midfield,172.13333,900.0,False,available_population_recomputed_or_reused_from_role_resolution
140872,Mohamed Rabie Hrimat,MID,MID,1.0,98.11667,Left Defensive Midfield,1687.5834,900.0,True,available_population_recomputed_or_reused_from_role_resolution
6196,Yerry Fernando Mina González,UNKNOWN,UNKNOWN,0.0,0.0,,,,False,available_population_recomputed_or_reused_from_role_resolution
523299,Youness Noussir,FB,FB,1.0,98.11667,Right Back,807.06665,900.0,False,available_population_recomputed_or_reused_from_role_resolution
5678,Jefferson Andrés Lerma Solís,MID,MID,1.0,111.05,Center Defensive Midfield,,900.0,False,available_population_recomputed_or_reused_from_role_resolution
409301,Jawad Ghabra,CF,CF,0.7829177100559563,137.733334,Right Center Forward; Left Center Midfield; Center Forward,1463.6833,750.0,True,available_population_recomputed_or_reused_from_role_resolution
139554,Abdoulaye Diarra,MULTI_ROLE,MID,0.5079926928140779,177.416664,Left Center Midfield; Left Wing; Center Attacking Midfield,177.41666,,False,available_population_recomputed_or_reused_from_role_resolution
138918,Marwan Louadni,CB,CB,1.0,98.11667,Right Center Back,1607.0668,900.0,True,available_population_recomputed_or_reused_from_role_resolution
