role,player_id,player_name,score,confidence_index,confidence_level,confidence_interval_low,confidence_interval_high,weight_stability,bootstrap_stability,sample_quality,minutes_reliability,population_size,data_quality,overall_reliability,experiment_008_status
FB,442286,Oussama Daoui,53.23048769173641,68.50180912241417,medium,32.74561019069348,68.21255889645258,90,64.53305129424089,75,83.76851666666667,23,75,Adequate,not_recomputed_full_population_unavailable
FB,522352,Hamza Fassoukh,45.07853153108093,67.56957643556584,medium,28.867978379972183,61.09527761958366,90,67.77270076038852,75,73.43796666666667,23,75,Adequate,not_recomputed_full_population_unavailable
FB,523293,Nassim Azzoubairi,58.93028150812842,70.63098178387972,medium,39.22311577236156,76.74798068345719,90,62.47513508890437,75,98.01573333333332,23,75,Adequate,not_recomputed_full_population_unavailable
FB,523318,Younes El Khafi,34.554572962157785,69.47993551902451,medium,22.9417774507004,45.60085391217599,90,77.34092353852441,75,66.24537222222222,23,75,Adequate,not_recomputed_full_population_unavailable
FB,81364,Euclides da Silva Cabral,44.70233294772315,75.48214508123259,medium,35.43056532845788,59.40607796140248,90,76.0244873670554,80,94.81018333333331,23,80,Adequate,not_recomputed_full_population_unavailable
GK,138841,Salaheddine Chihab,30.747904998691947,77.86128354683453,medium,16.6992779987201,38.67090622929452,90,78.02837176942558,75,100.0,12,75,Adequate,not_recomputed_full_population_unavailable
GK,138950,Mehdi Harrar,36.17141063173851,65.11864755675037,medium,8.299880909718395,66.6790405405333,90,41.6208403691851,75,100.0,12,75,Adequate,not_recomputed_full_population_unavailable
GK,138972,Mahdi Benabid,50.69522827002397,76.85369691579847,medium,33.52100471487782,58.37145189126958,90,75.14955282360825,75,100.0,12,75,Adequate,not_recomputed_full_population_unavailable
GK,139011,Ahmed Reda Tagnaouti,30.58758056138213,67.73539902333496,medium,8.441390520243322,49.89596818303876,90,58.54542233720456,75,83.46573888888888,12,75,Adequate,not_recomputed_full_population_unavailable
GK,139555,Aymane Majid,62.51704494420145,60.594353998989526,medium,41.734778626636746,99.91033254946676,90,41.82444607716999,75,77.02222222222223,12,75,Research Only,not_recomputed_full_population_unavailable
GK,139572,Amine El Ouaad,71.51107076853708,72.76550547311129,medium,55.06428201982643,91.5952761753244,90,63.469005844502014,75,100.0,12,75,Adequate,not_recomputed_full_population_unavailable
GK,317852,Abderahmane El Houasli,35.25726487253641,71.17215109250633,medium,24.85431479974477,49.63351829665377,90,75.22079650309101,75,71.46759444444444,12,75,Adequate,not_recomputed_full_population_unavailable
GK,362445,Badreddine Abyir,76.7757739977954,79.66342274387802,medium,66.67531567145086,83.49797476761532,90,83.17734090383554,75,100.0,12,75,Adequate,not_recomputed_full_population_unavailable
GK,36951,Babacar Niasse,62.71956263824022,77.61370353209044,medium,52.23812039672217,74.91712009799402,90,77.32100029872815,75,100.0,12,75,Adequate,not_recomputed_full_population_unavailable
