role_family,metric,normalization_method,normalized_skewness,normalized_kurtosis,normalized_outlier_pct,normalization_quality_score,experiment_008_status
CB,op_f3_passes_90,z_score,0.7578370332074509,0.4078319296178114,4.0,1.1617529980163566,not_recalibrated_full_population_unavailable
CB,op_f3_passes_90,robust_z_score,0.7578370332074507,0.4078319296178105,4.0,1.161752998016356,not_recalibrated_full_population_unavailable
CB,op_f3_passes_90,percentile_rank,-1.2625160375738023e-16,-1.2000000000000006,0.0,0.6000000000000004,not_recalibrated_full_population_unavailable
CB,op_f3_passes_90,min_max,0.7578370332074502,0.4078319296178105,4.0,1.1617529980163557,not_recalibrated_full_population_unavailable
CB,op_f3_passes_90,log_transform,-0.3506405383896209,-0.3803185044099297,4.0,0.7407997905945858,not_recalibrated_full_population_unavailable
CB,op_f3_passes_90,quantile_transform,6.190111631570688e-11,5.487249497425394,8.0,3.143624748774598,not_recalibrated_full_population_unavailable
CB,op_f3_passes_90,winsorized_z_score,0.4406045298672548,-0.5846934952557445,0.0,0.7329512774951271,not_recalibrated_full_population_unavailable
CB,op_xgbuildup_90,z_score,0.0181992687987072,-0.5217202303066992,0.0,0.2790593839520569,not_recalibrated_full_population_unavailable
CB,op_xgbuildup_90,robust_z_score,0.0181992687987074,-0.5217202303066988,0.0,0.2790593839520568,not_recalibrated_full_population_unavailable
CB,op_xgbuildup_90,percentile_rank,1.0600515754506863e-15,-1.2000000000000006,0.0,0.6000000000000014,not_recalibrated_full_population_unavailable
CB,op_xgbuildup_90,min_max,0.0181992687987072,-0.5217202303067001,0.0,0.2790593839520573,not_recalibrated_full_population_unavailable
CB,op_xgbuildup_90,log_transform,-0.1548084180968784,-0.4607556806195583,0.0,0.3851862584066576,not_recalibrated_full_population_unavailable
CB,op_xgbuildup_90,quantile_transform,6.190136415106903e-11,5.487249497425392,8.0,3.143624748774597,not_recalibrated_full_population_unavailable
CB,op_xgbuildup_90,winsorized_z_score,0.0040845305215363,-1.002320297258036,0.0,0.5052446791505544,not_recalibrated_full_population_unavailable
FB,ball_recoveries_90,z_score,0.0441385912487193,-0.5847286360456767,0.0,0.3365029092715577,not_recalibrated_full_population_unavailable
FB,ball_recoveries_90,robust_z_score,0.0441385912487198,-0.5847286360456763,0.0,0.3365029092715579,not_recalibrated_full_population_unavailable
FB,ball_recoveries_90,percentile_rank,-1.1248881547924568e-15,-1.200000000000001,0.0,0.6000000000000016,not_recalibrated_full_population_unavailable
FB,ball_recoveries_90,min_max,0.0441385912487185,-0.5847286360456785,0.0,0.3365029092715578,not_recalibrated_full_population_unavailable
FB,ball_recoveries_90,log_transform,-0.8246229487205327,-0.1781231539144139,0.0,0.9136845256777396,not_recalibrated_full_population_unavailable
FB,ball_recoveries_90,quantile_transform,6.165691016522039e-11,5.3134215468059,8.695652173913043,3.0914933821602597,not_recalibrated_full_population_unavailable
