score_a,score_b,pearson,spearman,distance_correlation
CB_CB_D7,CB_CB_D8,-0.37975450015661477,-0.43,0.5050047948157629
CB_CB_D7,CB_CB_D9,0.13173427185916795,0.07770725283194624,0.2673579091505356
CB_CB_D7,CF_CF_D1,,,
CB_CB_D7,CF_CF_D2,,,
CB_CB_D7,CF_CF_D3,,,
CB_CB_D7,CF_CF_D4,,,
CB_CB_D7,FB_FB_D1,,,
CB_CB_D7,FB_FB_D2,,,
CB_CB_D7,FB_FB_D3,,,
CB_CB_D7,FB_FB_D4,,,
CB_CB_D7,FB_FB_D5,,,
CB_CB_D7,FB_FB_D6,,,
CB_CB_D7,FB_FB_D7,,,
CB_CB_D7,GK_GK_D1,,,
CB_CB_D7,GK_GK_D2,,,
CB_CB_D7,GK_GK_D3,,,
CB_CB_D7,MID_MID_D1,,,
CB_CB_D7,MID_MID_D2,,,
CB_CB_D7,MID_MID_D4,,,
CB_CB_D7,MID_MID_D5,,,
CB_CB_D7,MID_MID_D6,,,
CB_CB_D7,MID_MID_D7,,,
CB_CB_D7,WINGER_WINGER_D1,,,
CB_CB_D7,WINGER_WINGER_D2,,,
CB_CB_D7,WINGER_WINGER_D3,,,
CB_CB_D7,WINGER_WINGER_D4,,,
CB_CB_D7,WINGER_WINGER_D5,,,
CB_CB_D7,WINGER_WINGER_D6,,,
CB_CB_D8,CB_CB_D9,0.07948760242319948,0.03423735397051096,0.2750133217557754
CB_CB_D8,CF_CF_D1,,,
CB_CB_D8,CF_CF_D2,,,
CB_CB_D8,CF_CF_D3,,,
CB_CB_D8,CF_CF_D4,,,
CB_CB_D8,FB_FB_D1,,,
CB_CB_D8,FB_FB_D2,,,
CB_CB_D8,FB_FB_D3,,,
CB_CB_D8,FB_FB_D4,,,
CB_CB_D8,FB_FB_D5,,,
CB_CB_D8,FB_FB_D6,,,
CB_CB_D8,FB_FB_D7,,,
CB_CB_D8,GK_GK_D1,,,
CB_CB_D8,GK_GK_D2,,,
CB_CB_D8,GK_GK_D3,,,
CB_CB_D8,MID_MID_D1,,,
CB_CB_D8,MID_MID_D2,,,
CB_CB_D8,MID_MID_D4,,,
CB_CB_D8,MID_MID_D5,,,
CB_CB_D8,MID_MID_D6,,,
CB_CB_D8,MID_MID_D7,,,
CB_CB_D8,WINGER_WINGER_D1,,,
CB_CB_D8,WINGER_WINGER_D2,,,
CB_CB_D8,WINGER_WINGER_D3,,,
