role,player_id,player_name,score,bootstrap_mean,bootstrap_std,bootstrap_ci_low,bootstrap_ci_high,score_variance,bootstrap_samples,experiment_008_status
MID,10689,Sabir Bougrine,60.25185471324466,59.33407574476895,16.307778772486667,25.617677869194544,88.86579395216958,265.9436484923668,300,not_recomputed_full_population_unavailable
MID,138860,Youssef Michte,25.510345012083786,24.967293251097285,8.911088467113473,10.855322898298446,45.67713486075039,79.40749766872273,300,not_recomputed_full_population_unavailable
MID,138872,Oussama Mahrous,52.04003920007446,52.1994992825864,6.44321137773744,39.10445878606306,63.80930520544245,41.5149728582052,300,not_recomputed_full_population_unavailable
MID,138873,Abdelghafour Lamirat,57.81439547219295,57.68926000547702,5.608362704178943,47.701303510561566,68.99182202060929,31.45373222162535,300,not_recomputed_full_population_unavailable
MID,138983,Zine Eddine Derrag,60.21845224372968,60.32171639836002,6.48157602986389,47.35237630617427,72.48291395047494,42.01082783090615,300,not_recomputed_full_population_unavailable
MID,139565,Larbi Naji,49.30304599865113,49.14225171035811,12.121279285505874,29.464024806340756,74.80511610826248,146.92541151723378,300,not_recomputed_full_population_unavailable
MID,140872,Mohamed Rabie Hrimat,59.54784623651305,60.20269778729546,12.983274144009108,34.230163154268645,81.69463123491057,168.56540749849543,300,not_recomputed_full_population_unavailable
MID,141254,Hamza Afsal,56.09905475541976,56.28594622538392,6.72154643622847,44.23255587121265,69.29978888060472,45.17918649437565,300,not_recomputed_full_population_unavailable
MID,143166,Zakaria Fati,51.94810965543293,51.70441977589231,13.479395968610309,25.96559326678085,78.03218425740519,181.69411567858785,300,not_recomputed_full_population_unavailable
MID,144436,Anas Serrhat,71.66171404515838,72.1053124823094,6.195305426293539,59.90460559225034,83.59906845401368,38.38180932506217,300,not_recomputed_full_population_unavailable
MID,151743,Mohamed Al Makahasi,59.15242292630757,59.442121173734485,8.815449408754738,42.952617547168494,75.26383007505723,77.71214827831426,300,not_recomputed_full_population_unavailable
MID,194912,Faouzi Abd El Mouttalib,34.29059098956171,34.03940329326935,5.560410861525986,23.67807738644314,45.12179193298172,30.91816894897616,300,not_recomputed_full_population_unavailable
MID,21648,Anas Tahiri,39.827181430371205,40.08014373121207,14.207263405507558,12.55284911069425,66.98623287814893,201.8463334734742,300,not_recomputed_full_population_unavailable
MID,312413,Soulaimane El Bouchqali,51.50337297702328,51.41079138664588,9.190666214110076,33.59462329548718,70.21203887724377,84.46834545918443,300,not_recomputed_full_population_unavailable
MID,313284,Achraf Harmach,64.6878242119324,64.24074513128681,10.171748695984222,44.47617124767052,82.85637443235615,103.46447153425672,300,not_recomputed_full_population_unavailable
MID,407207,Ennaama El Bellali,33.55607567203257,33.49981782368832,3.647942389296403,27.25771183208879,42.01337486807875,13.307483675625551,300,not_recomputed_full_population_unavailable
