role_family,metric,normalization_method,normalized_skewness,normalized_kurtosis,normalized_outlier_pct,normalization_quality_score
CB,op_f3_passes_90,percentile_rank,-1.2625160375738023e-16,-1.2000000000000006,0.0,0.6000000000000004
CB,op_f3_passes_90,min_max,0.7578370332074502,0.40783192961781056,4.0,1.1617529980163555
CB,op_f3_passes_90,log_transform,-0.3506405383896209,-0.38031850440992976,4.0,0.7407997905945858
CB,op_f3_passes_90,quantile_transform,6.190111631570688e-11,5.487249497425394,8.0,3.143624748774598
CB,op_f3_passes_90,winsorized_z_score,0.44060452986725485,-0.5846934952557445,0.0,0.7329512774951271
CB,op_xgbuildup_90,z_score,0.01819926879870729,-0.5217202303066992,0.0,0.2790593839520569
CB,op_xgbuildup_90,robust_z_score,0.01819926879870749,-0.5217202303066988,0.0,0.27905938395205687
CB,op_xgbuildup_90,percentile_rank,1.0600515754506865e-15,-1.2000000000000006,0.0,0.6000000000000014
CB,op_xgbuildup_90,min_max,0.01819926879870727,-0.5217202303067001,0.0,0.2790593839520573
CB,op_xgbuildup_90,log_transform,-0.15480841809687845,-0.4607556806195583,0.0,0.3851862584066576
CB,op_xgbuildup_90,quantile_transform,6.190136415106903e-11,5.487249497425392,8.0,3.143624748774597
CB,op_xgbuildup_90,winsorized_z_score,0.0040845305215363595,-1.002320297258036,0.0,0.5052446791505544
FB,ball_recoveries_90,z_score,0.044138591248719355,-0.5847286360456767,0.0,0.3365029092715577
FB,ball_recoveries_90,robust_z_score,0.04413859124871982,-0.5847286360456763,0.0,0.33650290927155796
FB,ball_recoveries_90,percentile_rank,-1.1248881547924568e-15,-1.200000000000001,0.0,0.6000000000000016
FB,ball_recoveries_90,min_max,0.04413859124871852,-0.5847286360456785,0.0,0.3365029092715578
FB,ball_recoveries_90,log_transform,-0.8246229487205327,-0.1781231539144139,0.0,0.9136845256777396
FB,ball_recoveries_90,quantile_transform,6.165691016522039e-11,5.3134215468059,8.695652173913043,3.0914933821602593
FB,ball_recoveries_90,winsorized_z_score,-0.26380995281662656,-1.109517811498193,0.0,0.818568858565723
FB,box_cross_ratio,z_score,0.2485564561108976,-0.4096089412867263,0.0,0.45336092675426076
FB,box_cross_ratio,robust_z_score,0.2485564561108975,-0.40960894128672676,0.0,0.4533609267542609
FB,box_cross_ratio,percentile_rank,1.2932845851506093e-15,-1.2000000000000006,0.0,0.6000000000000016
FB,box_cross_ratio,min_max,0.24855645611089863,-0.40960894128672587,0.0,0.45336092675426154
FB,box_cross_ratio,log_transform,-0.0660766165417618,-0.38852053689050603,0.0,0.2603368849870148
FB,box_cross_ratio,quantile_transform,6.165711822454936e-11,5.313421546805898,8.695652173913043,3.0914933821602584
FB,box_cross_ratio,winsorized_z_score,0.18740937305706137,-0.9081904168734773,0.0,0.6415045814938001
