provider_dataset,path,available,row_count
lineups,/home/platform/DataPlatform/tmp/botola_identity/statsbomb_raw/lineups/extracted_date=2026-06-02/run_id=botola_identity_minimal_20260602T203944Z/match_id=4047794/lineups.json,True,2
lineups,/home/platform/DataPlatform/tmp/botola_identity/statsbomb_raw/lineups/extracted_date=2026-06-02/run_id=botola_identity_minimal_20260602T203944Z/match_id=4057956/lineups.json,True,2
lineups,/home/platform/DataPlatform/tmp/botola_identity/statsbomb_raw/lineups/extracted_date=2026-06-02/run_id=botola_identity_minimal_20260602T203944Z/match_id=4030238/lineups.json,True,2
lineups,/home/platform/DataPlatform/tmp/botola_identity/statsbomb_raw/lineups/extracted_date=2026-06-02/run_id=botola_identity_minimal_20260602T203944Z/match_id=4057463/lineups.json,True,2
lineups,/home/platform/DataPlatform/tmp/botola_identity/statsbomb_raw/lineups/extracted_date=2026-06-02/run_id=botola_identity_minimal_20260602T203944Z/match_id=4059479/lineups.json,True,2
lineups,/home/platform/DataPlatform/tmp/botola_identity/statsbomb_raw/lineups/extracted_date=2026-06-02/run_id=botola_identity_minimal_20260602T203944Z/match_id=4031429/lineups.json,True,2
lineups,/home/platform/DataPlatform/tmp/botola_identity/statsbomb_raw/lineups/extracted_date=2026-06-02/run_id=botola_identity_minimal_20260602T203944Z/match_id=4051530/lineups.json,True,2
lineups,/home/platform/DataPlatform/tmp/botola_identity/statsbomb_raw/lineups/extracted_date=2026-06-02/run_id=botola_identity_minimal_20260602T203944Z/match_id=4057972/lineups.json,True,2
lineups,/home/platform/DataPlatform/tmp/botola_identity/statsbomb_raw/lineups/extracted_date=2026-06-02/run_id=botola_identity_minimal_20260602T203944Z/match_id=4031430/lineups.json,True,2
lineups,/home/platform/DataPlatform/tmp/botola_identity/statsbomb_raw/lineups/extracted_date=2026-06-02/run_id=botola_identity_minimal_20260602T203944Z/match_id=4020498/lineups.json,False,0
lineups,/home/platform/DataPlatform/tmp/botola_identity/statsbomb_raw/lineups/extracted_date=2026-06-02/run_id=botola_identity_minimal_20260602T203944Z/match_id=4059478/lineups.json,True,2
lineups,/home/platform/DataPlatform/tmp/botola_identity/statsbomb_raw/lineups/extracted_date=2026-06-02/run_id=botola_identity_minimal_20260602T203944Z/match_id=4030237/lineups.json,True,2
lineups,/home/platform/DataPlatform/tmp/botola_identity/statsbomb_raw/lineups/extracted_date=2026-06-02/run_id=botola_identity_minimal_20260602T203944Z/match_id=4051540/lineups.json,True,2
lineups,/home/platform/DataPlatform/tmp/botola_identity/statsbomb_raw/lineups/extracted_date=2026-06-02/run_id=botola_identity_minimal_20260602T203944Z/match_id=4034580/lineups.json,True,2
lineups,/home/platform/DataPlatform/tmp/botola_identity/statsbomb_raw/lineups/extracted_date=2026-06-02/run_id=botola_identity_minimal_20260602T203944Z/match_id=4051541/lineups.json,True,2
lineups,/home/platform/DataPlatform/tmp/botola_identity/statsbomb_raw/lineups/extracted_date=2026-06-02/run_id=botola_identity_minimal_20260602T203944Z/match_id=4034581/lineups.json,True,2
lineups,/home/platform/DataPlatform/tmp/botola_identity/statsbomb_raw/lineups/extracted_date=2026-06-02/run_id=botola_identity_minimal_20260602T203944Z/match_id=4030232/lineups.json,True,2
lineups,/home/platform/DataPlatform/tmp/botola_identity/statsbomb_raw/lineups/extracted_date=2026-06-02/run_id=botola_identity_minimal_20260602T203944Z/match_id=4051489/lineups.json,True,2
lineups,/home/platform/DataPlatform/tmp/botola_identity/statsbomb_raw/lineups/extracted_date=2026-06-02/run_id=botola_identity_minimal_20260602T203944Z/match_id=4057464/lineups.json,True,2
lineups,/home/platform/DataPlatform/tmp/botola_identity/statsbomb_raw/lineups/extracted_date=2026-06-02/run_id=botola_identity_minimal_20260602T203944Z/match_id=4059489/lineups.json,False,0
lineups,/home/platform/DataPlatform/tmp/botola_identity/statsbomb_raw/lineups/extracted_date=2026-06-02/run_id=botola_identity_minimal_20260602T203944Z/match_id=4047795/lineups.json,True,2
lineups,/home/platform/DataPlatform/tmp/botola_identity/statsbomb_raw/lineups/extracted_date=2026-06-02/run_id=botola_identity_minimal_20260602T203944Z/match_id=4047796/lineups.json,True,2
lineups,/home/platform/DataPlatform/tmp/botola_identity/statsbomb_raw/lineups/extracted_date=2026-06-02/run_id=botola_identity_minimal_20260602T203944Z/match_id=4057469/lineups.json,True,2
lineups,/home/platform/DataPlatform/tmp/botola_identity/statsbomb_raw/lineups/extracted_date=2026-06-02/run_id=botola_identity_minimal_20260602T203944Z/match_id=4033226/lineups.json,True,2
lineups,/home/platform/DataPlatform/tmp/botola_identity/statsbomb_raw/lineups/extracted_date=2026-06-02/run_id=botola_identity_minimal_20260602T203944Z/match_id=4057974/lineups.json,True,2
lineups,/home/platform/DataPlatform/tmp/botola_identity/statsbomb_raw/lineups/extracted_date=2026-06-02/run_id=botola_identity_minimal_20260602T203944Z/match_id=4057184/lineups.json,True,2
lineups,/home/platform/DataPlatform/tmp/botola_identity/statsbomb_raw/lineups/extracted_date=2026-06-02/run_id=botola_identity_minimal_20260602T203944Z/match_id=4051536/lineups.json,False,0
lineups,/home/platform/DataPlatform/tmp/botola_identity/statsbomb_raw/lineups/extracted_date=2026-06-02/run_id=botola_identity_minimal_20260602T203944Z/match_id=4057967/lineups.json,True,2
lineups,/home/platform/DataPlatform/tmp/botola_identity/statsbomb_raw/lineups/extracted_date=2026-06-02/run_id=botola_identity_minimal_20260602T203944Z/match_id=4051488/lineups.json,True,2
lineups,/home/platform/DataPlatform/tmp/botola_identity/statsbomb_raw/lineups/extracted_date=2026-06-02/run_id=botola_identity_minimal_20260602T203944Z/match_id=4031422/lineups.json,True,2
lineups,/home/platform/DataPlatform/tmp/botola_identity/statsbomb_raw/lineups/extracted_date=2026-06-02/run_id=botola_identity_minimal_20260602T203944Z/match_id=4020504/lineups.json,True,2
lineups,/home/platform/DataPlatform/tmp/botola_identity/statsbomb_raw/lineups/extracted_date=2026-06-02/run_id=botola_identity_minimal_20260602T203944Z/match_id=4051532/lineups.json,True,2
lineups,/home/platform/DataPlatform/tmp/botola_identity/statsbomb_raw/lineups/extracted_date=2026-06-02/run_id=botola_identity_minimal_20260602T203944Z/match_id=4033229/lineups.json,True,2
lineups,/home/platform/DataPlatform/tmp/botola_identity/statsbomb_raw/lineups/extracted_date=2026-06-02/run_id=botola_identity_minimal_20260602T203944Z/match_id=4033221/lineups.json,True,2
lineups,/home/platform/DataPlatform/tmp/botola_identity/statsbomb_raw/lineups/extracted_date=2026-06-02/run_id=botola_identity_minimal_20260602T203944Z/match_id=4031432/lineups.json,True,2
lineups,/home/platform/DataPlatform/tmp/botola_identity/statsbomb_raw/lineups/extracted_date=2026-06-02/run_id=botola_identity_minimal_20260602T203944Z/match_id=4051484/lineups.json,True,2
lineups,/home/platform/DataPlatform/tmp/botola_identity/statsbomb_raw/lineups/extracted_date=2026-06-02/run_id=botola_identity_minimal_20260602T203944Z/match_id=4047793/lineups.json,True,2
lineups,/home/platform/DataPlatform/tmp/botola_identity/statsbomb_raw/lineups/extracted_date=2026-06-02/run_id=botola_identity_minimal_20260602T203944Z/match_id=4051491/lineups.json,True,2
lineups,/home/platform/DataPlatform/tmp/botola_identity/statsbomb_raw/lineups/extracted_date=2026-06-02/run_id=botola_identity_minimal_20260602T203944Z/match_id=4057969/lineups.json,True,2
lineups,/home/platform/DataPlatform/tmp/botola_identity/statsbomb_raw/lineups/extracted_date=2026-06-02/run_id=botola_identity_minimal_20260602T203944Z/match_id=4059488/lineups.json,False,0
lineups,/home/platform/DataPlatform/tmp/botola_identity/statsbomb_raw/lineups/extracted_date=2026-06-02/run_id=botola_identity_minimal_20260602T203944Z/match_id=4057462/lineups.json,True,2
lineups,/home/platform/DataPlatform/tmp/botola_identity/statsbomb_raw/lineups/extracted_date=2026-06-02/run_id=botola_identity_minimal_20260602T203944Z/match_id=4057978/lineups.json,True,2
lineups,/home/platform/DataPlatform/tmp/botola_identity/statsbomb_raw/lineups/extracted_date=2026-06-02/run_id=botola_identity_minimal_20260602T203944Z/match_id=4047787/lineups.json,True,2
lineups,/home/platform/DataPlatform/tmp/botola_identity/statsbomb_raw/lineups/extracted_date=2026-06-02/run_id=botola_identity_minimal_20260602T203944Z/match_id=4033227/lineups.json,True,2
lineups,/home/platform/DataPlatform/tmp/botola_identity/statsbomb_raw/lineups/extracted_date=2026-06-02/run_id=botola_identity_minimal_20260602T203944Z/match_id=4051534/lineups.json,True,2
lineups,/home/platform/DataPlatform/tmp/botola_identity/statsbomb_raw/lineups/extracted_date=2026-06-02/run_id=botola_identity_minimal_20260602T203944Z/match_id=4020500/lineups.json,True,2
