role,player_id,base_rank,mean_bootstrap_rank,average_rank_variation,worst_case_rank_variation,rank_std,experiment_008_status
MID,523308,1.0,3.026666666666667,2.026666666666667,10.0,2.126270359344183,not_recomputed_full_population_unavailable
MID,523973,33.0,30.683333333333334,2.3766666666666665,18.0,3.0121918744524363,not_recomputed_full_population_unavailable
MID,523996,20.0,18.01,4.836666666666667,15.0,5.6494502055879785,not_recomputed_full_population_unavailable
MID,7183,26.0,25.08333333333333,5.15,18.0,6.220829361806829,not_recomputed_full_population_unavailable
MID,7717,4.0,5.883333333333334,2.87,15.0,3.76878424311156,not_recomputed_full_population_unavailable
WINGER,132614,8.0,9.983333333333333,4.29,14.0,5.107184482014854,not_recomputed_full_population_unavailable
WINGER,134249,10.0,10.336666666666666,4.576666666666667,13.0,5.478140404968098,not_recomputed_full_population_unavailable
WINGER,138895,4.0,6.816666666666666,3.6433333333333335,17.0,4.260307848670135,not_recomputed_full_population_unavailable
WINGER,139001,5.0,7.49,3.41,16.0,4.253257653716305,not_recomputed_full_population_unavailable
WINGER,139008,17.0,14.076666666666666,4.87,16.0,5.4525121290355525,not_recomputed_full_population_unavailable
WINGER,139017,15.0,13.41,3.75,14.0,4.770509322632586,not_recomputed_full_population_unavailable
WINGER,139568,24.0,21.766666666666666,2.4,14.0,2.605414138224688,not_recomputed_full_population_unavailable
WINGER,140874,2.0,4.1,2.5866666666666664,15.0,3.5729380469895387,not_recomputed_full_population_unavailable
WINGER,143490,14.0,14.536666666666669,3.1766666666666667,10.0,3.825017396365304,not_recomputed_full_population_unavailable
WINGER,16208,25.0,21.79,3.21,21.0,4.00073989812403,not_recomputed_full_population_unavailable
WINGER,179311,1.0,3.2,2.2,14.0,3.06015497891582,not_recomputed_full_population_unavailable
WINGER,199611,22.0,20.94333333333333,2.796666666666667,16.0,4.034979440572367,not_recomputed_full_population_unavailable
WINGER,275341,21.0,21.32,3.16,18.0,4.089827497977232,not_recomputed_full_population_unavailable
WINGER,312935,7.0,8.393333333333333,5.02,13.0,5.675030878665028,not_recomputed_full_population_unavailable
WINGER,3302,6.0,8.54,4.286666666666667,19.0,5.601755577659513,not_recomputed_full_population_unavailable
