role,player_id,season_id,split_name,matches,minutes,split_score,split_score_std,date_method
MID,138860,318,first_half,1,89.316666,42.27483852072131,,match_date
MID,138860,318,second_half,0,0.0,,,match_date
MID,138872,318,full_season,2,206.68333,50.63225837484417,1.3419847156159554,match_date
MID,138872,318,first_half,1,103.8,49.683331882183424,,match_date
MID,138872,318,second_half,1,102.88333,51.58118486750491,,match_date
MID,138873,318,full_season,1,80.88333,46.0282924355309,,match_date
MID,138873,318,first_half,1,80.88333,46.0282924355309,,match_date
MID,138873,318,second_half,0,0.0,,,match_date
MID,138983,318,full_season,1,98.11667,56.666894105087195,,match_date
MID,138983,318,first_half,1,98.11667,56.666894105087195,,match_date
MID,138983,318,second_half,0,0.0,,,match_date
MID,139565,318,full_season,1,96.1,44.1910623009916,,match_date
MID,139565,318,first_half,1,96.1,44.1910623009916,,match_date
MID,139565,318,second_half,0,0.0,,,match_date
MID,140872,318,full_season,1,98.11667,60.41247374628077,,match_date
MID,140872,318,first_half,1,98.11667,60.41247374628077,,match_date
MID,140872,318,second_half,0,0.0,,,match_date
MID,141254,318,full_season,1,18.85,43.941719793137665,,match_date
MID,141254,318,first_half,1,18.85,43.941719793137665,,match_date
MID,141254,318,second_half,0,0.0,,,match_date
MID,143166,318,full_season,1,98.11667,47.487593121547555,,match_date
MID,143166,318,first_half,1,98.11667,47.487593121547555,,match_date
MID,143166,318,second_half,0,0.0,,,match_date
MID,144436,318,full_season,1,102.96667,74.35279133462052,,match_date
MID,144436,318,first_half,1,102.96667,74.35279133462052,,match_date
MID,144436,318,second_half,0,0.0,,,match_date
MID,151743,318,full_season,1,102.96667,45.79519516909256,,match_date
MID,151743,318,first_half,1,102.96667,45.79519516909256,,match_date
MID,151743,318,second_half,0,0.0,,,match_date
MID,194912,318,full_season,2,193.06667,42.15385361037847,9.928398509319354,match_date
MID,194912,318,first_half,1,104.95,35.133415698116345,,match_date
MID,194912,318,second_half,1,88.11667,49.174291522640594,,match_date
MID,21648,318,full_season,1,31.833334,30.7538707555407,,match_date
MID,21648,318,first_half,1,31.833334,30.7538707555407,,match_date
MID,21648,318,second_half,0,0.0,,,match_date
MID,312413,318,full_season,1,11.983334,34.82032483186969,,match_date
MID,312413,318,first_half,1,11.983334,34.82032483186969,,match_date
MID,312413,318,second_half,0,0.0,,,match_date
MID,313284,318,full_season,1,93.61667,40.93599346477793,,match_date
MID,313284,318,first_half,1,93.61667,40.93599346477793,,match_date
MID,313284,318,second_half,0,0.0,,,match_date
MID,407207,318,full_season,2,144.06667,53.01329797392476,9.335233402712195,match_date
MID,407207,318,first_half,1,86.21667,46.412291130907796,,match_date
MID,407207,318,second_half,1,57.85,59.61430481694172,,match_date
MID,407506,318,full_season,1,80.63333,38.9601460812214,,match_date
MID,407506,318,first_half,1,80.63333,38.9601460812214,,match_date
