role,latent_dimension,metric,equal_weight,pca_loading_weight,variance_contribution_weight,stability_adjusted_weight,entropy_weight,bootstrap_stability_weight,method_disagreement,shrinkage_to_equal,max_weight_cap,ensemble_candidate_weight,warning_flags,experiment_008_status
MID,MID_D1,op_f3_passes_90,0.5,0.5078856541517693,0.9822113906677828,0.5430993008692465,0.5022591847086041,0.4976361015055201,0.1934392940937263,0.4,0.6,0.5639709958283508,high_method_disagreement,not_recomputed_full_population_unavailable
MID,MID_D2,through_balls_90,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.1,1.0,1.0,single_metric_dimension,not_recomputed_full_population_unavailable
MID,MID_D4,obv_pass_90,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.1,1.0,1.0,single_metric_dimension,not_recomputed_full_population_unavailable
MID,MID_D5,obv_dribble_carry_90,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.1,1.0,1.0,single_metric_dimension,not_recomputed_full_population_unavailable
MID,MID_D6,ball_recoveries_90,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.1,1.0,1.0,single_metric_dimension,not_recomputed_full_population_unavailable
MID,MID_D7,counterpressures_90,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.1,1.0,1.0,single_metric_dimension,not_recomputed_full_population_unavailable
WINGER,WINGER_D1,np_shots_90,0.5,0.4843220292007165,0.9817888411470056,0.5307885892562881,0.5,0.5074363190318006,0.1954364821057016,0.6499999999999999,0.6,0.5353035045045068,small_sample;high_method_disagreement,not_recomputed_full_population_unavailable
WINGER,WINGER_D1,np_xg_90,0.5,0.5156779707992836,0.0182111588529945,0.4692114107437117,0.5,0.4925636809681993,0.1954364821057016,0.6499999999999999,0.6,0.4646964954954932,small_sample;high_method_disagreement,not_recomputed_full_population_unavailable
WINGER,WINGER_D2,key_passes_90,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.35,1.0,1.0,small_sample;single_metric_dimension,not_recomputed_full_population_unavailable
WINGER,WINGER_D3,obv_pass_90,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.35,1.0,1.0,small_sample;single_metric_dimension,not_recomputed_full_population_unavailable
WINGER,WINGER_D4,dribble_ratio,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.35,1.0,1.0,small_sample;single_metric_dimension,not_recomputed_full_population_unavailable
WINGER,WINGER_D5,crossing_ratio,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.35,1.0,1.0,small_sample;single_metric_dimension,not_recomputed_full_population_unavailable
WINGER,WINGER_D6,obv_dribble_carry_90,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.35,1.0,1.0,small_sample;single_metric_dimension,not_recomputed_full_population_unavailable
