role,player_id,player_name,review_category,score,percentile,reason
CB,139556,Bilal El Ouadghiri,highest_percentile,59.605614965569465,92.0,football_expert_review_required_not_quality_judgement
CB,3252,Oussama Haddadi,highest_percentile,58.86389384557369,88.0,football_expert_review_required_not_quality_judgement
CB,67700,Badr Banoun,highest_percentile,58.10544095607193,84.0,football_expert_review_required_not_quality_judgement
CB,442093,Yassine Fatine,lowest_percentile,31.604164816877105,4.0,football_expert_review_required_not_quality_judgement
CB,202502,Soulaimane El Amrani,lowest_percentile,33.33627865745442,8.0,football_expert_review_required_not_quality_judgement
CB,138958,Mouad Bahsain,lowest_percentile,35.449185570962634,12.0,football_expert_review_required_not_quality_judgement
CB,139023,Amine Aboulfath,lowest_percentile,39.368541024207225,16.0,football_expert_review_required_not_quality_judgement
CB,138871,Karim El Bounagat,lowest_percentile,42.375156008408055,20.0,football_expert_review_required_not_quality_judgement
FB,138910,Jamal Ech-Chammakh,top20,76.02197127468717,100.0,football_expert_review_required_not_quality_judgement
FB,139560,Hamza El Moussaoui,top20,67.38879234613674,95.65217391304348,football_expert_review_required_not_quality_judgement
FB,138927,Saad El Morsli,top20,64.22657303802754,91.30434782608695,football_expert_review_required_not_quality_judgement
FB,442100,Marouane Ouhrou,top20,60.36154374480873,86.95652173913044,football_expert_review_required_not_quality_judgement
FB,523293,Nassim Azzoubairi,top20,58.93028150812842,82.6086956521739,football_expert_review_required_not_quality_judgement
FB,138956,Anas Bach,top20,56.87353653867026,78.26086956521739,football_expert_review_required_not_quality_judgement
FB,339278,Chemseddine Knaidil,top20,56.86376027080534,73.91304347826086,football_expert_review_required_not_quality_judgement
FB,152015,Zakaria Kiani,top20,55.62682167678936,69.56521739130434,football_expert_review_required_not_quality_judgement
FB,138949,Ayoub Boucheta,top20,54.33028768909539,65.21739130434783,football_expert_review_required_not_quality_judgement
FB,442286,Oussama Daoui,top20,53.23048769173641,60.86956521739131,football_expert_review_required_not_quality_judgement
FB,142789,Oussama Soukhane,top20,51.84902963564516,56.52173913043478,football_expert_review_required_not_quality_judgement
FB,178342,Ettayb Boukhriss,top20,49.93994331832277,52.17391304347826,football_expert_review_required_not_quality_judgement
FB,140876,Mohamed Moufid,top20,49.03019453170217,47.82608695652174,football_expert_review_required_not_quality_judgement
FB,135851,Augusto de Jesus Corte Real Carneiro,top20,48.893941350310406,43.47826086956522,football_expert_review_required_not_quality_judgement
FB,314451,Houdaifa El Mahasni,top20,47.647788343322745,39.130434782608695,football_expert_review_required_not_quality_judgement
FB,337496,Haytam Manaout,top20,47.45234026977532,34.78260869565217,football_expert_review_required_not_quality_judgement
FB,313287,Redouane Ait Lemkadem,top20,45.12588573811286,30.434782608695656,football_expert_review_required_not_quality_judgement
FB,522352,Hamza Fassoukh,top20,45.07853153108093,26.08695652173913,football_expert_review_required_not_quality_judgement
FB,81364,Euclides da Silva Cabral,top20,44.70233294772315,21.73913043478261,football_expert_review_required_not_quality_judgement
FB,261620,Nadir Lougmani,top20,42.10707881510001,17.391304347826086,football_expert_review_required_not_quality_judgement
FB,523318,Younes El Khafi,bottom20,34.554572962157785,4.3478260869565215,football_expert_review_required_not_quality_judgement
FB,138945,Mohamed Boulacsout,bottom20,35.34227332760554,8.695652173913043,football_expert_review_required_not_quality_judgement
FB,406864,Hamza Malki,bottom20,38.053301196515775,13.043478260869565,football_expert_review_required_not_quality_judgement
FB,261620,Nadir Lougmani,bottom20,42.10707881510001,17.391304347826086,football_expert_review_required_not_quality_judgement
FB,81364,Euclides da Silva Cabral,bottom20,44.70233294772315,21.73913043478261,football_expert_review_required_not_quality_judgement
FB,522352,Hamza Fassoukh,bottom20,45.07853153108093,26.08695652173913,football_expert_review_required_not_quality_judgement
FB,313287,Redouane Ait Lemkadem,bottom20,45.12588573811286,30.434782608695656,football_expert_review_required_not_quality_judgement
FB,337496,Haytam Manaout,bottom20,47.45234026977532,34.78260869565217,football_expert_review_required_not_quality_judgement
FB,314451,Houdaifa El Mahasni,bottom20,47.647788343322745,39.130434782608695,football_expert_review_required_not_quality_judgement
FB,135851,Augusto de Jesus Corte Real Carneiro,bottom20,48.893941350310406,43.47826086956522,football_expert_review_required_not_quality_judgement
FB,140876,Mohamed Moufid,bottom20,49.03019453170217,47.82608695652174,football_expert_review_required_not_quality_judgement
FB,178342,Ettayb Boukhriss,bottom20,49.93994331832277,52.17391304347826,football_expert_review_required_not_quality_judgement
FB,142789,Oussama Soukhane,bottom20,51.84902963564516,56.52173913043478,football_expert_review_required_not_quality_judgement
FB,442286,Oussama Daoui,bottom20,53.23048769173641,60.86956521739131,football_expert_review_required_not_quality_judgement
FB,138949,Ayoub Boucheta,bottom20,54.33028768909539,65.21739130434783,football_expert_review_required_not_quality_judgement
FB,152015,Zakaria Kiani,bottom20,55.62682167678936,69.56521739130434,football_expert_review_required_not_quality_judgement
FB,339278,Chemseddine Knaidil,bottom20,56.86376027080534,73.91304347826086,football_expert_review_required_not_quality_judgement
FB,138956,Anas Bach,bottom20,56.87353653867026,78.26086956521739,football_expert_review_required_not_quality_judgement
FB,523293,Nassim Azzoubairi,bottom20,58.93028150812842,82.6086956521739,football_expert_review_required_not_quality_judgement
FB,442100,Marouane Ouhrou,bottom20,60.36154374480873,86.95652173913044,football_expert_review_required_not_quality_judgement
FB,138910,Jamal Ech-Chammakh,highest_percentile,76.02197127468717,100.0,football_expert_review_required_not_quality_judgement
FB,139560,Hamza El Moussaoui,highest_percentile,67.38879234613674,95.65217391304348,football_expert_review_required_not_quality_judgement
FB,138927,Saad El Morsli,highest_percentile,64.22657303802754,91.30434782608695,football_expert_review_required_not_quality_judgement
FB,442100,Marouane Ouhrou,highest_percentile,60.36154374480873,86.95652173913044,football_expert_review_required_not_quality_judgement
FB,523293,Nassim Azzoubairi,highest_percentile,58.93028150812842,82.6086956521739,football_expert_review_required_not_quality_judgement
FB,523318,Younes El Khafi,lowest_percentile,34.554572962157785,4.3478260869565215,football_expert_review_required_not_quality_judgement
FB,138945,Mohamed Boulacsout,lowest_percentile,35.34227332760554,8.695652173913043,football_expert_review_required_not_quality_judgement
FB,406864,Hamza Malki,lowest_percentile,38.053301196515775,13.043478260869565,football_expert_review_required_not_quality_judgement
FB,261620,Nadir Lougmani,lowest_percentile,42.10707881510001,17.391304347826086,football_expert_review_required_not_quality_judgement
FB,81364,Euclides da Silva Cabral,lowest_percentile,44.70233294772315,21.73913043478261,football_expert_review_required_not_quality_judgement
MID,523308,Adil Khalloufi,top20,74.86883938929184,100.0,football_expert_review_required_not_quality_judgement
MID,477682,Ayoub Benaadi,top20,72.75466777426385,97.05882352941175,football_expert_review_required_not_quality_judgement
MID,144436,Anas Serrhat,top20,71.66171404515838,94.11764705882352,football_expert_review_required_not_quality_judgement
MID,7717,Rayane Aabid,top20,68.94794077723483,91.17647058823528,football_expert_review_required_not_quality_judgement
MID,424979,Soufiane Tazi,top20,65.46751020408719,88.23529411764706,football_expert_review_required_not_quality_judgement
MID,313284,Achraf Harmach,top20,64.6878242119324,85.29411764705883,football_expert_review_required_not_quality_judgement
MID,10689,Sabir Bougrine,top20,60.25185471324466,82.35294117647058,football_expert_review_required_not_quality_judgement
MID,138983,Zine Eddine Derrag,top20,60.21845224372968,79.41176470588235,football_expert_review_required_not_quality_judgement
MID,140872,Mohamed Rabie Hrimat,top20,59.54784623651305,76.47058823529412,football_expert_review_required_not_quality_judgement
MID,477680,Hamza Saoud,top20,59.36384627009205,73.52941176470588,football_expert_review_required_not_quality_judgement
MID,151743,Mohamed Al Makahasi,top20,59.15242292630757,70.58823529411765,football_expert_review_required_not_quality_judgement
MID,138873,Abdelghafour Lamirat,top20,57.81439547219295,67.64705882352942,football_expert_review_required_not_quality_judgement
MID,407852,Abdessamad Mahir,top20,56.51922302948898,64.70588235294117,football_expert_review_required_not_quality_judgement
MID,141254,Hamza Afsal,top20,56.09905475541976,61.76470588235294,football_expert_review_required_not_quality_judgement
MID,138872,Oussama Mahrous,top20,52.04003920007446,58.82352941176471,football_expert_review_required_not_quality_judgement
MID,143166,Zakaria Fati,top20,51.94810965543293,55.88235294117647,football_expert_review_required_not_quality_judgement
MID,312413,Soulaimane El Bouchqali,top20,51.50337297702328,52.94117647058824,football_expert_review_required_not_quality_judgement
MID,416303,El Mahdi Akoumi,top20,49.95768694251736,50.0,football_expert_review_required_not_quality_judgement
MID,415853,Claude Gnolou,top20,49.90472207685403,47.05882352941176,football_expert_review_required_not_quality_judgement
