role,player_id,instability_driver,max_abs_variation
CB,314452,bootstrap_rank_variation_gt_5,13.0
CB,314466,bootstrap_rank_variation_gt_5,12.0
CB,3252,bootstrap_rank_variation_gt_5,21.0
CB,338916,bootstrap_rank_variation_gt_5,15.0
CB,363239,bootstrap_rank_variation_gt_5,14.0
CB,407555,bootstrap_rank_variation_gt_5,11.0
CB,409303,bootstrap_rank_variation_gt_5,17.0
CB,419744,bootstrap_rank_variation_gt_5,13.0
CB,442093,bootstrap_rank_variation_gt_5,21.0
CB,477678,bootstrap_rank_variation_gt_5,17.0
CB,49760,bootstrap_rank_variation_gt_5,18.0
CB,523290,bootstrap_rank_variation_gt_5,13.0
CB,524512,bootstrap_rank_variation_gt_5,16.0
CB,67700,bootstrap_rank_variation_gt_5,17.0
CB,7378,bootstrap_rank_variation_gt_5,18.0
FB,135851,bootstrap_rank_variation_gt_5,13.0
FB,138910,bootstrap_rank_variation_gt_5,6.0
FB,138927,bootstrap_rank_variation_gt_5,19.0
FB,138945,bootstrap_rank_variation_gt_5,16.0
FB,138949,bootstrap_rank_variation_gt_5,13.0
FB,138956,bootstrap_rank_variation_gt_5,15.0
FB,139560,bootstrap_rank_variation_gt_5,14.0
FB,140876,bootstrap_rank_variation_gt_5,9.0
FB,142789,bootstrap_rank_variation_gt_5,12.0
FB,152015,bootstrap_rank_variation_gt_5,9.0
FB,178342,bootstrap_rank_variation_gt_5,10.0
FB,261620,bootstrap_rank_variation_gt_5,14.0
FB,313287,bootstrap_rank_variation_gt_5,16.0
FB,314451,bootstrap_rank_variation_gt_5,14.0
FB,337496,bootstrap_rank_variation_gt_5,15.0
FB,339278,bootstrap_rank_variation_gt_5,14.0
FB,406864,bootstrap_rank_variation_gt_5,20.0
FB,442100,bootstrap_rank_variation_gt_5,17.0
FB,442286,bootstrap_rank_variation_gt_5,12.0
FB,522352,bootstrap_rank_variation_gt_5,16.0
FB,523293,bootstrap_rank_variation_gt_5,16.0
FB,523318,bootstrap_rank_variation_gt_5,15.0
FB,81364,bootstrap_rank_variation_gt_5,14.0
MID,10689,bootstrap_rank_variation_gt_5,27.0
MID,138860,bootstrap_rank_variation_gt_5,18.0
MID,138872,bootstrap_rank_variation_gt_5,12.0
MID,138873,bootstrap_rank_variation_gt_5,10.0
MID,138983,bootstrap_rank_variation_gt_5,18.0
MID,139565,bootstrap_rank_variation_gt_5,20.0
MID,140872,bootstrap_rank_variation_gt_5,24.0
MID,141254,bootstrap_rank_variation_gt_5,12.0
MID,143166,bootstrap_rank_variation_gt_5,18.0
MID,144436,bootstrap_rank_variation_gt_5,10.0
MID,151743,bootstrap_rank_variation_gt_5,18.0
MID,194912,bootstrap_rank_variation_gt_5,13.0
MID,21648,bootstrap_rank_variation_gt_5,17.0
MID,312413,bootstrap_rank_variation_gt_5,15.0
MID,313284,bootstrap_rank_variation_gt_5,22.0
MID,407207,bootstrap_rank_variation_gt_5,10.0
MID,407506,bootstrap_rank_variation_gt_5,22.0
MID,407852,bootstrap_rank_variation_gt_5,13.0
MID,415853,bootstrap_rank_variation_gt_5,16.0
MID,416303,bootstrap_rank_variation_gt_5,17.0
MID,424979,bootstrap_rank_variation_gt_5,17.0
MID,442288,bootstrap_rank_variation_gt_5,9.0
MID,442292,bootstrap_rank_variation_gt_5,12.0
MID,443951,bootstrap_rank_variation_gt_5,23.0
MID,446355,bootstrap_rank_variation_gt_5,17.0
MID,450709,bootstrap_rank_variation_gt_5,18.0
MID,477679,bootstrap_rank_variation_gt_5,15.0
MID,477680,bootstrap_rank_variation_gt_5,22.0
MID,477682,bootstrap_rank_variation_gt_5,29.0
MID,523308,bootstrap_rank_variation_gt_5,10.0
MID,523973,bootstrap_rank_variation_gt_5,18.0
MID,523996,bootstrap_rank_variation_gt_5,15.0
MID,7183,bootstrap_rank_variation_gt_5,18.0
