statsbomb_player_id,role_family,role_minutes,role_minute_share
27886,MID,84.76202568744833,0.8323602959196813
522352,FB,206.68332999999998,1.0
139549,MID,67.45,0.6415662609919704
139549,FB,0.4746647811754622,0.004514883749196636
139549,WINGER,37.20866921882454,0.35391885525883293
138860,MID,89.316666,1.0
81364,FB,79.433334,1.0
142789,FB,102.96667,1.0
195016,MID,64.316666,1.0
7550,WINGER,146.0,1.0
138983,MID,98.11667,1.0
138957,CB,96.1,1.0
363239,CB,96.316666,1.0
28567,CB,130.51666,1.0
314460,MID,68.933334,1.0
138958,CB,102.96667,1.0
387245,WINGER,20.966667,1.0
442926,FB,112.46667,1.0
334695,UNKNOWN,0.0,0.0
477688,MID,6.9166665,1.0
522350,GK,206.68333,1.0
16184,UNKNOWN,0.0,0.0
314456,UNKNOWN,0.0,0.0
313280,CB,109.3,1.0
312938,WINGER,64.03333,1.0
178342,FB,46.083332,1.0
199611,WINGER,157.61667,1.0
194914,WINGER,25.466666999999998,1.0
523998,FB,109.3,1.0
142086,UNKNOWN,0.0,0.0
140874,WINGER,24.183332,1.0
314451,FB,78.51667,1.0
523308,MID,98.11667,1.0
477678,CB,50.599999999999994,1.0
139017,WINGER,66.36667,1.0
141741,FB,69.68899146960332,0.8010229180766905
141741,CB,17.311005530396685,0.19897708192330954
138989,GK,112.46667,1.0
405342,FB,5.05,1.0
405342,CB,0.0,0.0
524392,CF,80.03333,1.0
136023,FB,26.25,1.0
332384,CB,27.483334,1.0
179384,UNKNOWN,0.0,0.0
523317,CB,96.683334,1.0
140876,FB,103.8,1.0
442098,WINGER,96.1,1.0
29560,CF,101.833336,1.0
144434,MID,12.05,1.0
163983,UNKNOWN,0.0,0.0
139563,FB,50.599999999999994,0.5934323597586808
139563,MID,34.666668,0.4065676402413192
200507,GK,216.28332999999998,1.0
406269,MID,69.86667,1.0
523290,CB,98.11667,1.0
138910,FB,11.816667,1.0
140871,WINGER,47.22543284920705,0.5463798590623272
140871,MID,39.20790115079295,0.45362014093767283
442724,UNKNOWN,0.0,0.0
523309,WINGER,68.933334,1.0
212929,UNKNOWN,0.0,0.0
49395,MID,89.98333,1.0
138843,FB,106.25,1.0
132614,WINGER,22.9,1.0
179311,WINGER,13.766666,1.0
409762,UNKNOWN,0.0,0.0
348651,UNKNOWN,0.0,0.0
523997,MID,17.089723189825108,0.19658423537789166
523997,WINGER,69.84361181017489,0.8034157646221083
194915,UNKNOWN,0.0,0.0
60138,MID,41.533333,1.0
138871,CB,81.7,1.0
31844,UNKNOWN,0.0,0.0
138950,GK,102.96667,1.0
445163,WINGER,68.85,1.0
524246,UNKNOWN,0.0,0.0
524246,CF,19.266666,1.0
460266,WINGER,96.36667,1.0
