statsbomb_player_id,player_name,role_family,position_text,observations
460266,Youness Dahmani,WINGER,Left Midfield,1
462167,Livty Kpolo,CF,Left Center Forward,1
462374,Soufiane Taher,UNKNOWN,,1
463014,Moussa Koté,UNKNOWN,,1
46646,José Dembi,MID,Center Defensive Midfield,1
46648,Marwane Elaz,UNKNOWN,,1
475118,Achraf Missou,UNKNOWN,,1
475296,Rayane Mahtou,UNKNOWN,,1
477555,Adam Brika,WINGER,Right Wing,1
477584,Ayoub Ait Khassou,UNKNOWN,,1
477675,Mohamed Idar,GK,Goalkeeper,1
477677,Yassine Boughaz,FB,Right Back,1
477678,Cheick Keita,CB,Left Center Back,1
477679,Redouane Oubidar,MID,Left Defensive Midfield,1
477680,Hamza Saoud,MID,Right Defensive Midfield,1
477681,Brahim Ait Hammou,WINGER,Right Wing,1
477682,Ayoub Benaadi,MID,Center Attacking Midfield,1
477684,Brahim Amzili,CF,Center Forward,1
477686,Mohamed Adjar,UNKNOWN,,1
477688,Ayoub El Khaffi,MID,Left Defensive Midfield,1
478936,Hafid Id Said,UNKNOWN,,1
49000,Amine Oudrhiri Idrissi,MID,Right Defensive Midfield,1
49395,Richard Rios Montoya,MID,Right Center Midfield,1
49760,Adil Rhaili,CB,Left Center Back,1
503286,Mehdi Balouk,CF,Center Forward,1
51475,Abdelali Gluja M'Hamdi,UNKNOWN,,1
52129,Alejandro Garnacho Ferreyra,UNKNOWN,,1
522339,Souleymane Cissé,CF,Center Forward,1
522342,Younes El Bahraoui,CF,Center Forward,1
522346,Naoufal Ait Oubna,UNKNOWN,,2
522350,Mohamed Jemjami,GK,Goalkeeper,2
522352,Hamza Fassoukh,FB,Right Back,2
522354,Akram El Hamdaoui,CB,Left Center Back,1
522357,Mohamed Adam Benhita,CB,Right Center Back,2
522709,Taha Majni,UNKNOWN,,1
523287,Ismail Sayad,GK,Goalkeeper,1
523288,Abdelali Khouch,FB,Left Back,1
523290,Achraf Zine,CB,Right Center Back,1
523293,Nassim Azzoubairi,FB,Left Back,1
523294,Ilyass Badri,UNKNOWN,,1
523296,Youssef Legnibi,UNKNOWN,,1
523298,Mohamed Ahayaoui,MID,Right Center Midfield,1
523299,Youness Noussir,FB,Right Back,1
523308,Adil Khalloufi,MID,Center Defensive Midfield,1
523309,Jalal-Eddine El Khfiyef,WINGER,Right Wing,1
523311,Anas Jabroun,CF,Center Forward,1
523312,Brahim Mansouri,MID,Left Center Midfield,1
523314,Mouhcine Boussanane,WINGER,Right Wing,1
523317,Ismail Soubai,CB,Right Center Back,1
523318,Younes El Khafi,FB,Left Back,1
523319,Omar Ouddah,MID,Right Defensive Midfield,1
523321,Khalid Raiss,UNKNOWN,,1
523338,Salah Eddine Essalehy,WINGER,Left Wing,1
523973,Hamza Rafa,MID,Left Defensive Midfield,1
523996,Fred Duval Ngoma,MID,Center Defensive Midfield,1
523997,Karim L'Koucha,MID,Center Attacking Midfield,1
523998,Zakaria Aiada,FB,Right Back,1
523999,Zakaria Kessary,MID,Center Defensive Midfield,1
524000,Ahmed Aboulfath,WINGER,Right Midfield,1
524001,Nasreddine Moustaghfir,CF,Right Center Forward,1
524002,Salim Ghazzani,WINGER,Left Midfield,1
524003,Mohammed Es-Sahel,MID,Left Center Midfield,1
524246,Youness El Kaabi,CF,Right Center Forward,1
524392,Romuald Dacosta,CF,Center Forward,1
524393,Zakaria Oubraim,UNKNOWN,,1
524394,Abdoulaye Sanogo,UNKNOWN,,1
524395,Amine Dghoughi,WINGER,Right Wing,1
524396,Yacoub El Id,UNKNOWN,,1
524510,Privat Djéssan Bi,UNKNOWN,,1
524511,Saad Nassik,MID,Right Center Midfield,1
524512,Reda Ait Boughima,CB,Right Center Back,1
524513,Amine Balich,UNKNOWN,,1
5503,Lionel Andrés Messi Cuccittini,CF,Right Center Forward,1
5507,Nicolás Alejandro Tagliafico,FB,Left Back,1
5678,Jefferson Andrés Lerma Solís,MID,Center Defensive Midfield,1
5691,Johan Andrés Mojica Palacio,FB,Left Back,1
5692,Juan Fernando Quintero Paniagua,MID,Center Attacking Midfield,1
5695,James David Rodríguez Rubio,MID,Center Attacking Midfield,1
5696,Santiago Arias Naranjo,FB,Right Back,1
5726,Khalid Boutaïb,CF,Left Center Forward,1
60138,Kevin Duvan Castaño Gil,MID,Right Center Midfield,1
60514,Yaser Esneider Asprilla Martínez,UNKNOWN,,1
6193,Andrés Mateus Uribe Villa,MID,Center Defensive Midfield,1
6196,Yerry Fernando Mina González,UNKNOWN,,1
6312,Franco Armani,UNKNOWN,,1
6333,Miguel Ángel Borja Hernández,CF,Left Center Forward,1
64615,Thembinkosi Lorch,WINGER,Left Wing,1
6694,Gerónimo Rulli,UNKNOWN,,1
6725,Zakaria Bakkali,CB,Center Back,1
67700,Badr Banoun,CB,Right Center Back,1
6909,Damián Emiliano Martínez,GK,Goalkeeper,1
7161,Germán Alejandro Pezzella,UNKNOWN,,1
