statsbomb_player_id,player_name,role_family,position_text,observations
399197,Abdesselam Lachhab,UNKNOWN,,1
399198,Oussama Errahmani,UNKNOWN,,1
399493,Mehdi Mchakhchekh,UNKNOWN,,1
399559,Youssef Dalouzi,CF,Center Forward,1
399624,Mohamed Zinaf,WINGER,Left Wing,1
405342,Guilherme Ferreira de Oliveira,FB,Left Back,1
405645,Othmane Chraibi,MID,Center Defensive Midfield,1
406269,Danilson Gomes Tavares,MID,Center Defensive Midfield,1
406860,Abdelaziz El Hamzaoui,CF,Center Forward,1
406864,Hamza Malki,FB,Left Back,1
407207,Ennaama El Bellali,MID,Center Defensive Midfield,1
407506,Oussama Nourdine,MID,Left Defensive Midfield,1
407555,James Monday Ajako,CB,Left Center Back,1
407663,Mohamed Habbali,WINGER,Right Wing,1
407665,Soufiane Jazouli,WINGER,Left Wing,1
407852,Abdessamad Mahir,MID,Left Defensive Midfield,1
409131,Abdellatif Benkassou,WINGER,Right Wing,1
409301,Jawad Ghabra,CF,Right Center Forward,1
409303,Faraji Karmoune,CB,Right Center Back,2
409454,Ayoub Tine,FB,Right Back,1
409762,Amine El Maswab,UNKNOWN,,2
415853,Claude Gnolou,MID,Left Defensive Midfield,2
416299,Mohamed Amine Katiba,CF,Center Forward,1
416303,El Mahdi Akoumi,MID,Left Center Midfield,1
416307,Taha Benrhozil,UNKNOWN,,1
419744,Driss El Jabali,CB,Right Center Back,1
422075,Zakary Lamgahez,CB,Left Center Back,1
424979,Soufiane Tazi,MID,Center Attacking Midfield,1
425583,Mouad Dahak,WINGER,Left Midfield,1
426514,Yasser Ezzine,UNKNOWN,,2
426515,Oussama Ichou,UNKNOWN,,1
4276,David Ospina Ramírez,UNKNOWN,,1
434523,Benjamin Tanimu,FB,Right Back,1
435547,Abdallah Ziani,WINGER,Left Wing,1
442093,Yassine Fatine,CB,Left Center Back,1
442094,Soufiane Abaaziz,UNKNOWN,,1
442098,Khalid Baba,WINGER,Right Wing,1
442100,Marouane Ouhrou,FB,Left Back,1
442155,Akram El Wahabi,UNKNOWN,,2
442286,Oussama Daoui,FB,Right Back,1
442288,Adnane Berdad,MID,Left Defensive Midfield,1
442292,Abdellatif El Bajjani,MID,Center Defensive Midfield,1
442293,Ayoub Lourhraz,UNKNOWN,,1
442295,Reda Abardi,CF,Center Forward,1
442724,Fallou Formose Mendy,UNKNOWN,,1
442926,Ousmane Diallo,FB,Left Back,1
443951,Youness Akharraz,MID,Right Center Midfield,1
444003,Ilyass Motik,UNKNOWN,,1
445163,Ayoub Maamouri,WINGER,Right Midfield,1
446355,Ishak Zidani,MID,Left Center Midfield,1
449373,Marouane Oujeddou,WINGER,Right Midfield,1
449471,Ayman Tarrazi,MID,Right Center Midfield,1
450709,Joseph Bakasu       ,MID,Right Defensive Midfield,1
451595,Louay El Moussaoui,UNKNOWN,,2
453613,Baba Bello Ilou,CF,Center Forward,1
