player_id,player_name,team_name,role,dimension,score,unadjusted_score,percentile,confidence,confidence_value,metrics_used,missing_metric_count,quality_flags,research_only,production_ready
523318,Younes El Khafi,Olympique Dcheïra,FB,wide_progression,0.525763,0.93469,48.93617,low_research_only,0.5625,passes_into_final_third;progressive_passes,1,PARTIAL_DERIVATION_RESEARCH_ONLY;SAMPLE_TOO_SMALL_LOCAL_11_MATCHES_NOT_PRODUCTION_READY,True,False
523998,Zakaria Aiada,UTS Rabat,FB,wide_progression,0.81315,1.4456,85.106383,low_research_only,0.5625,passes_into_final_third;progressive_passes,1,PARTIAL_DERIVATION_RESEARCH_ONLY;SAMPLE_TOO_SMALL_LOCAL_11_MATCHES_NOT_PRODUCTION_READY,True,False
5507,Nicolás Alejandro Tagliafico,Argentina,FB,crossing,5.034524,8.950264,27.659574,low_research_only,0.5625,key_passes;passes_into_box,0,PARTIAL_DERIVATION_RESEARCH_ONLY;SAMPLE_TOO_SMALL_LOCAL_11_MATCHES_NOT_PRODUCTION_READY,True,False
5691,Johan Andrés Mojica Palacio,Colombia,FB,crossing,18.265625,32.472222,91.489362,low_research_only,0.5625,key_passes;passes_into_box,0,PARTIAL_DERIVATION_RESEARCH_ONLY;SAMPLE_TOO_SMALL_LOCAL_11_MATCHES_NOT_PRODUCTION_READY,True,False
5696,Santiago Arias Naranjo,Colombia,FB,crossing,20.875,37.111111,93.617021,low_research_only,0.5625,key_passes;passes_into_box,0,PARTIAL_DERIVATION_RESEARCH_ONLY;SAMPLE_TOO_SMALL_LOCAL_11_MATCHES_NOT_PRODUCTION_READY,True,False
28263,Gonzalo Ariel Montiel,Argentina,FB,crossing,9.883534,17.570727,59.574468,low_research_only,0.5625,key_passes;passes_into_box,0,PARTIAL_DERIVATION_RESEARCH_ONLY;SAMPLE_TOO_SMALL_LOCAL_11_MATCHES_NOT_PRODUCTION_READY,True,False
29201,Nahuel Molina Lucero,Argentina,FB,crossing,0.0,0.0,7.446809,low_research_only,0.5625,key_passes;passes_into_box,0,PARTIAL_DERIVATION_RESEARCH_ONLY;SAMPLE_TOO_SMALL_LOCAL_11_MATCHES_NOT_PRODUCTION_READY,True,False
29391,Nassim Ouammou,Hassania Agadir,FB,crossing,1.304688,2.319444,14.893617,low_research_only,0.5625,key_passes;passes_into_box,0,PARTIAL_DERIVATION_RESEARCH_ONLY;SAMPLE_TOO_SMALL_LOCAL_11_MATCHES_NOT_PRODUCTION_READY,True,False
81364,Euclides da Silva Cabral,Hassania Agadir,FB,crossing,5.086868,9.043321,29.787234,low_research_only,0.5625,key_passes;passes_into_box,0,PARTIAL_DERIVATION_RESEARCH_ONLY;SAMPLE_TOO_SMALL_LOCAL_11_MATCHES_NOT_PRODUCTION_READY,True,False
135851,Augusto de Jesus Corte Real Carneiro,FAR Rabat,FB,crossing,7.143898,12.700264,46.808511,low_research_only,0.5625,key_passes;passes_into_box,0,PARTIAL_DERIVATION_RESEARCH_ONLY;SAMPLE_TOO_SMALL_LOCAL_11_MATCHES_NOT_PRODUCTION_READY,True,False
136023,Rodrigue Kossi Fiogbé,Hassania Agadir,FB,crossing,0.0,0.0,7.446809,low_research_only,0.5625,key_passes;passes_into_box,0,PARTIAL_DERIVATION_RESEARCH_ONLY;SAMPLE_TOO_SMALL_LOCAL_11_MATCHES_NOT_PRODUCTION_READY,True,False
138843,Abdelilah Madkour,Maghreb Fès,FB,crossing,0.0,0.0,7.446809,low_research_only,0.5625,key_passes;passes_into_box,0,PARTIAL_DERIVATION_RESEARCH_ONLY;SAMPLE_TOO_SMALL_LOCAL_11_MATCHES_NOT_PRODUCTION_READY,True,False
138910,Jamal Ech-Chammakh,FAR Rabat,FB,crossing,15.349265,27.287582,85.106383,low_research_only,0.5625,key_passes;passes_into_box,0,PARTIAL_DERIVATION_RESEARCH_ONLY;SAMPLE_TOO_SMALL_LOCAL_11_MATCHES_NOT_PRODUCTION_READY,True,False
138927,Saad El Morsli,Olympic Safi,FB,crossing,11.646214,20.70438,72.340426,low_research_only,0.5625,key_passes;passes_into_box,0,PARTIAL_DERIVATION_RESEARCH_ONLY;SAMPLE_TOO_SMALL_LOCAL_11_MATCHES_NOT_PRODUCTION_READY,True,False
138945,Mohamed Boulacsout,Raja Casablanca,FB,crossing,6.486202,11.531026,34.042553,low_research_only,0.5625,key_passes;passes_into_box,0,PARTIAL_DERIVATION_RESEARCH_ONLY;SAMPLE_TOO_SMALL_LOCAL_11_MATCHES_NOT_PRODUCTION_READY,True,False
138949,Ayoub Boucheta,Wydad Casablanca,FB,crossing,6.195316,11.013894,31.914894,low_research_only,0.5625,key_passes;passes_into_box,0,PARTIAL_DERIVATION_RESEARCH_ONLY;SAMPLE_TOO_SMALL_LOCAL_11_MATCHES_NOT_PRODUCTION_READY,True,False
138956,Anas Bach,FAR Rabat,FB,crossing,2.609375,4.638889,20.212766,low_research_only,0.5625,key_passes;passes_into_box,0,PARTIAL_DERIVATION_RESEARCH_ONLY;SAMPLE_TOO_SMALL_LOCAL_11_MATCHES_NOT_PRODUCTION_READY,True,False
138966,Youssef Belammari,Raja Casablanca,FB,crossing,16.960938,30.152777,89.361702,low_research_only,0.5625,key_passes;passes_into_box,0,PARTIAL_DERIVATION_RESEARCH_ONLY;SAMPLE_TOO_SMALL_LOCAL_11_MATCHES_NOT_PRODUCTION_READY,True,False
138999,Marouane Lemzaouri,Difaâ El Jadida,FB,crossing,6.523438,11.597222,39.361702,low_research_only,0.5625,key_passes;passes_into_box,0,PARTIAL_DERIVATION_RESEARCH_ONLY;SAMPLE_TOO_SMALL_LOCAL_11_MATCHES_NOT_PRODUCTION_READY,True,False
139549,Hamza El Janati,KAC Marrakech,FB,crossing,8.578394,15.250478,53.191489,low_research_only,0.5625,key_passes;passes_into_box,0,PARTIAL_DERIVATION_RESEARCH_ONLY;SAMPLE_TOO_SMALL_LOCAL_11_MATCHES_NOT_PRODUCTION_READY,True,False
139560,Hamza El Moussaoui,RSB Berkane,FB,crossing,11.089844,19.715277,70.212766,low_research_only,0.5625,key_passes;passes_into_box,0,PARTIAL_DERIVATION_RESEARCH_ONLY;SAMPLE_TOO_SMALL_LOCAL_11_MATCHES_NOT_PRODUCTION_READY,True,False
139563,Ayoub Khairi,RSB Berkane,FB,crossing,1.579667,2.808296,17.021277,low_research_only,0.5625,key_passes;passes_into_box,0,PARTIAL_DERIVATION_RESEARCH_ONLY;SAMPLE_TOO_SMALL_LOCAL_11_MATCHES_NOT_PRODUCTION_READY,True,False
140876,Mohamed Moufid,Wydad Casablanca,FB,crossing,11.742188,20.875,74.468085,low_research_only,0.5625,key_passes;passes_into_box,0,PARTIAL_DERIVATION_RESEARCH_ONLY;SAMPLE_TOO_SMALL_LOCAL_11_MATCHES_NOT_PRODUCTION_READY,True,False
141741,Oussama Al Aiz,Ittihad Tanger,FB,crossing,10.275127,18.266894,61.702128,low_research_only,0.5625,key_passes;passes_into_box,0,PARTIAL_DERIVATION_RESEARCH_ONLY;SAMPLE_TOO_SMALL_LOCAL_11_MATCHES_NOT_PRODUCTION_READY,True,False
142789,Oussama Soukhane,FUS Rabat,FB,crossing,28.703125,51.027777,97.87234,low_research_only,0.5625,key_passes;passes_into_box,0,PARTIAL_DERIVATION_RESEARCH_ONLY;SAMPLE_TOO_SMALL_LOCAL_11_MATCHES_NOT_PRODUCTION_READY,True,False
143163,Hamza Semmoumy,Olympic Safi,FB,crossing,10.475782,18.623612,68.085106,low_research_only,0.5625,key_passes;passes_into_box,0,PARTIAL_DERIVATION_RESEARCH_ONLY;SAMPLE_TOO_SMALL_LOCAL_11_MATCHES_NOT_PRODUCTION_READY,True,False
144331,Oussama Raoui,FUS Rabat,FB,crossing,56.25,100.0,100.0,low_research_only,0.5625,key_passes;passes_into_box,0,PARTIAL_DERIVATION_RESEARCH_ONLY;SAMPLE_TOO_SMALL_LOCAL_11_MATCHES_NOT_PRODUCTION_READY,True,False
152015,Zakaria Kiani,Ittihad Tanger,FB,crossing,3.165484,5.627528,23.404255,low_research_only,0.5625,key_passes;passes_into_box,0,PARTIAL_DERIVATION_RESEARCH_ONLY;SAMPLE_TOO_SMALL_LOCAL_11_MATCHES_NOT_PRODUCTION_READY,True,False
178342,Ettayb Boukhriss,RSB Berkane,FB,crossing,8.054854,14.319741,51.06383,low_research_only,0.5625,key_passes;passes_into_box,0,PARTIAL_DERIVATION_RESEARCH_ONLY;SAMPLE_TOO_SMALL_LOCAL_11_MATCHES_NOT_PRODUCTION_READY,True,False
312413,Soulaimane El Bouchqali,FAR Rabat,FB,crossing,15.021989,26.705757,82.978723,low_research_only,0.5625,key_passes;passes_into_box,0,PARTIAL_DERIVATION_RESEARCH_ONLY;SAMPLE_TOO_SMALL_LOCAL_11_MATCHES_NOT_PRODUCTION_READY,True,False
313287,Redouane Ait Lemkadem,UTS Rabat,FB,crossing,6.523438,11.597222,39.361702,low_research_only,0.5625,key_passes;passes_into_box,0,PARTIAL_DERIVATION_RESEARCH_ONLY;SAMPLE_TOO_SMALL_LOCAL_11_MATCHES_NOT_PRODUCTION_READY,True,False
313974,Mohamed El Abdi,KAC Marrakech,FB,crossing,9.670474,17.191955,57.446809,low_research_only,0.5625,key_passes;passes_into_box,0,PARTIAL_DERIVATION_RESEARCH_ONLY;SAMPLE_TOO_SMALL_LOCAL_11_MATCHES_NOT_PRODUCTION_READY,True,False
