role,player_id,player_name,team_id,team_name,minutes,prototype_role_score,confidence_level,score_uncertainty,bootstrap_lower_bound,bootstrap_upper_bound,data_quality_warning,single_metric_dimension_warning,small_sample_warning,role_rank,role_percentile
FB,138927,Saad El Morsli,6989,Olympic Safi,1579.6667,64.22657303802754,low,51.15104741844568,36.437517891037196,87.58856530948287,limited_dataset_scope;single_metric_dimension;small_sample;unstable_weight;wide_confidence_interval,True,True,3.0,91.30434782608695
FB,138945,Mohamed Boulacsout,2349,Raja Casablanca,1667.3833,35.34227332760554,low,41.18084472084064,14.732297699997662,55.913142420838305,limited_dataset_scope;single_metric_dimension;small_sample;unstable_weight;wide_confidence_interval,True,True,22.0,8.695652173913043
FB,138949,Ayoub Boucheta,6994,Wydad Casablanca,1453.0,54.33028768909539,low,38.284996479096556,33.78625468919417,72.07125116829073,limited_dataset_scope;single_metric_dimension;small_sample;unstable_weight;wide_confidence_interval,True,True,9.0,65.21739130434783
FB,138956,Anas Bach,2838,FAR Rabat,1963.4335,56.87353653867026,low,31.697293465115322,39.32289799958173,71.02019146469705,limited_dataset_scope;single_metric_dimension;small_sample;unstable_weight;wide_confidence_interval,True,True,6.0,78.26086956521739
FB,139560,Hamza El Moussaoui,2762,RSB Berkane,1272.2667,67.38879234613674,low,37.74815560078587,47.917468980825426,85.6656245816113,limited_dataset_scope;single_metric_dimension;small_sample;unstable_weight;wide_confidence_interval,True,True,2.0,95.65217391304348
FB,140876,Mohamed Moufid,6994,Wydad Casablanca,1725.5333,49.03019453170217,low,18.21889602535326,39.15456590398233,57.37346192933559,limited_dataset_scope;single_metric_dimension;small_sample;unstable_weight,True,True,13.0,47.82608695652174
FB,142789,Oussama Soukhane,2761,FUS Rabat,1879.2666,51.84902963564516,low,45.2843964603842,28.3837714026411,73.6681678630253,limited_dataset_scope;single_metric_dimension;small_sample;unstable_weight;wide_confidence_interval,True,True,11.0,56.52173913043478
FB,152015,Zakaria Kiani,2839,Ittihad Tanger,2197.05,55.62682167678936,low,14.434468558004575,48.396240974785464,62.83070953279004,limited_dataset_scope;single_metric_dimension;small_sample;unstable_weight,True,True,8.0,69.56521739130434
FB,178342,Ettayb Boukhriss,2762,RSB Berkane,1045.5667,49.93994331832277,low,21.742706376726325,40.08862192338179,61.83132830010811,limited_dataset_scope;single_metric_dimension;small_sample;unstable_weight;wide_confidence_interval,True,True,12.0,52.17391304347826
FB,261620,Nadir Lougmani,36099,KAC Marrakech,1729.9835,42.10707881510001,low,29.35958641120605,28.092779243812824,57.45236565501887,limited_dataset_scope;single_metric_dimension;small_sample;unstable_weight;wide_confidence_interval,True,True,20.0,17.391304347826086
FB,313287,Redouane Ait Lemkadem,11935,UTS Rabat,2003.1166,45.12588573811286,low,35.87148374421511,27.08252089639242,62.95400464060753,limited_dataset_scope;single_metric_dimension;small_sample;unstable_weight;wide_confidence_interval,True,True,17.0,30.434782608695656
FB,314451,Houdaifa El Mahasni,2761,FUS Rabat,2082.3667,47.647788343322745,low,27.336291740574197,35.92486427488707,63.26115601546127,limited_dataset_scope;single_metric_dimension;small_sample;unstable_weight;wide_confidence_interval,True,True,15.0,39.130434782608695
