score_a,score_b,mutual_information
CF_CF_D1,FB_FB_D5,
CF_CF_D1,FB_FB_D6,
CF_CF_D1,FB_FB_D7,
CF_CF_D1,GK_GK_D1,
CF_CF_D1,GK_GK_D2,
CF_CF_D1,GK_GK_D3,
CF_CF_D1,MID_MID_D1,
CF_CF_D1,MID_MID_D2,
CF_CF_D1,MID_MID_D4,
CF_CF_D1,MID_MID_D5,
CF_CF_D1,MID_MID_D6,
CF_CF_D1,MID_MID_D7,
CF_CF_D1,WINGER_WINGER_D1,
CF_CF_D1,WINGER_WINGER_D2,
CF_CF_D1,WINGER_WINGER_D3,
CF_CF_D1,WINGER_WINGER_D4,
CF_CF_D1,WINGER_WINGER_D5,
CF_CF_D1,WINGER_WINGER_D6,
CF_CF_D2,CF_CF_D3,0.0
CF_CF_D2,CF_CF_D4,0.0
CF_CF_D2,FB_FB_D1,
CF_CF_D2,FB_FB_D2,
CF_CF_D2,FB_FB_D3,
CF_CF_D2,FB_FB_D4,
CF_CF_D2,FB_FB_D5,
CF_CF_D2,FB_FB_D6,
CF_CF_D2,FB_FB_D7,
CF_CF_D2,GK_GK_D1,
CF_CF_D2,GK_GK_D2,
CF_CF_D2,GK_GK_D3,
CF_CF_D2,MID_MID_D1,
CF_CF_D2,MID_MID_D2,
CF_CF_D2,MID_MID_D4,
CF_CF_D2,MID_MID_D5,
CF_CF_D2,MID_MID_D6,
CF_CF_D2,MID_MID_D7,
CF_CF_D2,WINGER_WINGER_D1,
CF_CF_D2,WINGER_WINGER_D2,
CF_CF_D2,WINGER_WINGER_D3,
CF_CF_D2,WINGER_WINGER_D4,
CF_CF_D2,WINGER_WINGER_D5,
CF_CF_D2,WINGER_WINGER_D6,
CF_CF_D3,CF_CF_D4,0.2764948665807099
CF_CF_D3,FB_FB_D1,
CF_CF_D3,FB_FB_D2,
CF_CF_D3,FB_FB_D3,
CF_CF_D3,FB_FB_D4,
CF_CF_D3,FB_FB_D5,
CF_CF_D3,FB_FB_D6,
CF_CF_D3,FB_FB_D7,
CF_CF_D3,GK_GK_D1,
CF_CF_D3,GK_GK_D2,
CF_CF_D3,GK_GK_D3,
CF_CF_D3,MID_MID_D1,
CF_CF_D3,MID_MID_D2,
CF_CF_D3,MID_MID_D4,
CF_CF_D3,MID_MID_D5,
CF_CF_D3,MID_MID_D6,
CF_CF_D3,MID_MID_D7,
CF_CF_D3,WINGER_WINGER_D1,
CF_CF_D3,WINGER_WINGER_D2,
CF_CF_D3,WINGER_WINGER_D3,
CF_CF_D3,WINGER_WINGER_D4,
CF_CF_D3,WINGER_WINGER_D5,
CF_CF_D3,WINGER_WINGER_D6,
CF_CF_D4,FB_FB_D1,
CF_CF_D4,FB_FB_D2,
CF_CF_D4,FB_FB_D3,
CF_CF_D4,FB_FB_D4,
CF_CF_D4,FB_FB_D5,
CF_CF_D4,FB_FB_D6,
CF_CF_D4,FB_FB_D7,
CF_CF_D4,GK_GK_D1,
CF_CF_D4,GK_GK_D2,
CF_CF_D4,GK_GK_D3,
CF_CF_D4,MID_MID_D1,
CF_CF_D4,MID_MID_D2,
CF_CF_D4,MID_MID_D4,
CF_CF_D4,MID_MID_D5,
CF_CF_D4,MID_MID_D6,
CF_CF_D4,MID_MID_D7,
CF_CF_D4,WINGER_WINGER_D1,
CF_CF_D4,WINGER_WINGER_D2,
CF_CF_D4,WINGER_WINGER_D3,
CF_CF_D4,WINGER_WINGER_D4,
CF_CF_D4,WINGER_WINGER_D5,
CF_CF_D4,WINGER_WINGER_D6,
FB_FB_D1,FB_FB_D2,0.06770954233095816
FB_FB_D1,FB_FB_D3,0.0
FB_FB_D1,FB_FB_D4,0.07420003251710061
FB_FB_D1,FB_FB_D5,0.0
FB_FB_D1,FB_FB_D6,0.0
FB_FB_D1,FB_FB_D7,0.0
FB_FB_D1,GK_GK_D1,
FB_FB_D1,GK_GK_D2,
FB_FB_D1,GK_GK_D3,
FB_FB_D1,MID_MID_D1,
FB_FB_D1,MID_MID_D2,
FB_FB_D1,MID_MID_D4,
FB_FB_D1,MID_MID_D5,
FB_FB_D1,MID_MID_D6,
FB_FB_D1,MID_MID_D7,
FB_FB_D1,WINGER_WINGER_D1,
FB_FB_D1,WINGER_WINGER_D2,
FB_FB_D1,WINGER_WINGER_D3,
FB_FB_D1,WINGER_WINGER_D4,
FB_FB_D1,WINGER_WINGER_D5,
FB_FB_D1,WINGER_WINGER_D6,
FB_FB_D2,FB_FB_D3,0.0
FB_FB_D2,FB_FB_D4,0.004624800985347344
FB_FB_D2,FB_FB_D5,0.0
FB_FB_D2,FB_FB_D6,0.01563601199655862
FB_FB_D2,FB_FB_D7,0.0
FB_FB_D2,GK_GK_D1,
FB_FB_D2,GK_GK_D2,
FB_FB_D2,GK_GK_D3,
FB_FB_D2,MID_MID_D1,
FB_FB_D2,MID_MID_D2,
FB_FB_D2,MID_MID_D4,
FB_FB_D2,MID_MID_D5,
FB_FB_D2,MID_MID_D6,
FB_FB_D2,MID_MID_D7,
FB_FB_D2,WINGER_WINGER_D1,
FB_FB_D2,WINGER_WINGER_D2,
FB_FB_D2,WINGER_WINGER_D3,
FB_FB_D2,WINGER_WINGER_D4,
FB_FB_D2,WINGER_WINGER_D5,
FB_FB_D2,WINGER_WINGER_D6,
FB_FB_D3,FB_FB_D4,0.0
FB_FB_D3,FB_FB_D5,0.0
FB_FB_D3,FB_FB_D6,0.12060761044641799
FB_FB_D3,FB_FB_D7,0.0
FB_FB_D3,GK_GK_D1,
FB_FB_D3,GK_GK_D2,
FB_FB_D3,GK_GK_D3,
FB_FB_D3,MID_MID_D1,
FB_FB_D3,MID_MID_D2,
FB_FB_D3,MID_MID_D4,
FB_FB_D3,MID_MID_D5,
FB_FB_D3,MID_MID_D6,
FB_FB_D3,MID_MID_D7,
FB_FB_D3,WINGER_WINGER_D1,
FB_FB_D3,WINGER_WINGER_D2,
FB_FB_D3,WINGER_WINGER_D3,
FB_FB_D3,WINGER_WINGER_D4,
FB_FB_D3,WINGER_WINGER_D5,
FB_FB_D3,WINGER_WINGER_D6,
FB_FB_D4,FB_FB_D5,0.26939626140898176
FB_FB_D4,FB_FB_D6,0.050815566741331475
FB_FB_D4,FB_FB_D7,0.0
FB_FB_D4,GK_GK_D1,
FB_FB_D4,GK_GK_D2,
FB_FB_D4,GK_GK_D3,
FB_FB_D4,MID_MID_D1,
FB_FB_D4,MID_MID_D2,
FB_FB_D4,MID_MID_D4,
FB_FB_D4,MID_MID_D5,
FB_FB_D4,MID_MID_D6,
FB_FB_D4,MID_MID_D7,
FB_FB_D4,WINGER_WINGER_D1,
FB_FB_D4,WINGER_WINGER_D2,
FB_FB_D4,WINGER_WINGER_D3,
FB_FB_D4,WINGER_WINGER_D4,
FB_FB_D4,WINGER_WINGER_D5,
FB_FB_D4,WINGER_WINGER_D6,
FB_FB_D5,FB_FB_D6,0.007012630547090115
FB_FB_D5,FB_FB_D7,0.091410905840843
FB_FB_D5,GK_GK_D1,
FB_FB_D5,GK_GK_D2,
FB_FB_D5,GK_GK_D3,
FB_FB_D5,MID_MID_D1,
