player_id,player_name,team_name,role,competition_id,season_id,minutes,metric,source_column,raw_value,per90_value,role_percentile,role_z_score,min_max_0_100,direction_aware_value,confidence_adjusted_value,confidence_weight,derivation_status,quality_warning,research_only,production_ready
138989,Mohamed Ferni,Renaissance Zemamra,GK,1229,318,90.0,touches,touches_per90,62.99999999999999,62.99999999999999,8.333333,-1.184905,13.669065,13.669065,5.766637,0.421875,partially_derivable,PARTIAL_DERIVATION_RESEARCH_ONLY,True,False
138989,Mohamed Ferni,Renaissance Zemamra,GK,1229,318,90.0,xg,xg_per90,0.0,0.0,50.0,,50.0,50.0,28.125,0.5625,safely_derivable,SAMPLE_TOO_SMALL_LOCAL_11_MATCHES_NOT_PRODUCTION_READY,True,False
139011,Ahmed Reda Tagnaouti,FAR Rabat,GK,1229,318,90.0,blocks,blocks_per90,0.0,0.0,47.222222,-0.242536,0.0,0.0,0.0,0.5625,safely_derivable,SAMPLE_TOO_SMALL_LOCAL_11_MATCHES_NOT_PRODUCTION_READY,True,False
139011,Ahmed Reda Tagnaouti,FAR Rabat,GK,1229,318,90.0,clearances,clearances_per90,2.0,2.0,97.222222,3.583566,100.0,100.0,56.25,0.5625,safely_derivable,SAMPLE_TOO_SMALL_LOCAL_11_MATCHES_NOT_PRODUCTION_READY,True,False
139011,Ahmed Reda Tagnaouti,FAR Rabat,GK,1229,318,90.0,passes,passes_attempted_per90,30.0,30.0,52.777778,-0.350257,31.914894,31.914894,17.952128,0.5625,safely_derivable,SAMPLE_TOO_SMALL_LOCAL_11_MATCHES_NOT_PRODUCTION_READY,True,False
139011,Ahmed Reda Tagnaouti,FAR Rabat,GK,1229,318,90.0,shots,shots_per90,0.0,0.0,50.0,,50.0,50.0,28.125,0.5625,safely_derivable,SAMPLE_TOO_SMALL_LOCAL_11_MATCHES_NOT_PRODUCTION_READY,True,False
139011,Ahmed Reda Tagnaouti,FAR Rabat,GK,1229,318,90.0,successful_passes,passes_completed_per90,21.0,21.0,47.222222,-0.332487,30.769231,30.769231,12.980769,0.421875,partially_derivable,PARTIAL_DERIVATION_RESEARCH_ONLY,True,False
139011,Ahmed Reda Tagnaouti,FAR Rabat,GK,1229,318,90.0,touches,touches_per90,79.0,79.0,41.666667,-0.380677,36.690647,36.690647,15.478867,0.421875,partially_derivable,PARTIAL_DERIVATION_RESEARCH_ONLY,True,False
139011,Ahmed Reda Tagnaouti,FAR Rabat,GK,1229,318,90.0,xg,xg_per90,0.0,0.0,50.0,,50.0,50.0,28.125,0.5625,safely_derivable,SAMPLE_TOO_SMALL_LOCAL_11_MATCHES_NOT_PRODUCTION_READY,True,False
139555,Aymane Majid,CODM Meknès,GK,1229,318,90.0,blocks,blocks_per90,0.0,0.0,47.222222,-0.242536,0.0,0.0,0.0,0.5625,safely_derivable,SAMPLE_TOO_SMALL_LOCAL_11_MATCHES_NOT_PRODUCTION_READY,True,False
139555,Aymane Majid,CODM Meknès,GK,1229,318,90.0,clearances,clearances_per90,0.0,0.0,41.666667,-0.385922,0.0,0.0,0.0,0.5625,safely_derivable,SAMPLE_TOO_SMALL_LOCAL_11_MATCHES_NOT_PRODUCTION_READY,True,False
139555,Aymane Majid,CODM Meknès,GK,1229,318,90.0,passes,passes_attempted_per90,45.0,45.0,91.666667,1.661513,95.744681,95.744681,53.856383,0.5625,safely_derivable,SAMPLE_TOO_SMALL_LOCAL_11_MATCHES_NOT_PRODUCTION_READY,True,False
139555,Aymane Majid,CODM Meknès,GK,1229,318,90.0,shots,shots_per90,0.0,0.0,50.0,,50.0,50.0,28.125,0.5625,safely_derivable,SAMPLE_TOO_SMALL_LOCAL_11_MATCHES_NOT_PRODUCTION_READY,True,False
139555,Aymane Majid,CODM Meknès,GK,1229,318,90.0,successful_passes,passes_completed_per90,32.0,32.0,80.555556,1.129606,73.076923,73.076923,30.829327,0.421875,partially_derivable,PARTIAL_DERIVATION_RESEARCH_ONLY,True,False
139555,Aymane Majid,CODM Meknès,GK,1229,318,90.0,touches,touches_per90,116.0,116.0,86.111111,1.479098,89.928058,89.928058,37.938399,0.421875,partially_derivable,PARTIAL_DERIVATION_RESEARCH_ONLY,True,False
