role,player_id,base_rank,mean_bootstrap_rank,average_rank_variation,worst_case_rank_variation,rank_std
MID,7183,26.0,25.083333333333332,5.15,18.0,6.220829361806829
MID,7717,4.0,5.883333333333334,2.87,15.0,3.7687842431115604
WINGER,132614,8.0,9.983333333333333,4.29,14.0,5.107184482014854
WINGER,134249,10.0,10.336666666666666,4.576666666666667,13.0,5.478140404968098
WINGER,138895,4.0,6.816666666666666,3.6433333333333335,17.0,4.260307848670135
WINGER,139001,5.0,7.49,3.41,16.0,4.253257653716305
WINGER,139008,17.0,14.076666666666666,4.87,16.0,5.4525121290355525
WINGER,139017,15.0,13.41,3.75,14.0,4.770509322632586
WINGER,139568,24.0,21.766666666666666,2.4,14.0,2.605414138224688
WINGER,140874,2.0,4.1,2.5866666666666664,15.0,3.5729380469895387
WINGER,143490,14.0,14.536666666666667,3.1766666666666667,10.0,3.825017396365304
WINGER,16208,25.0,21.79,3.21,21.0,4.00073989812403
WINGER,179311,1.0,3.2,2.2,14.0,3.0601549789158193
WINGER,199611,22.0,20.94333333333333,2.796666666666667,16.0,4.034979440572367
WINGER,275341,21.0,21.32,3.16,18.0,4.0898274979772316
WINGER,312935,7.0,8.393333333333333,5.02,13.0,5.675030878665028
WINGER,3302,6.0,8.54,4.286666666666667,19.0,5.601755577659513
WINGER,34952,11.0,10.776666666666667,2.3033333333333332,7.0,2.8177867133791152
WINGER,358748,23.0,21.876666666666665,2.13,11.0,2.6917666282248494
WINGER,381935,12.0,10.273333333333333,4.773333333333333,11.0,5.439723417455794
WINGER,409131,20.0,20.906666666666666,2.5,11.0,3.0772586216148996
WINGER,435547,19.0,15.933333333333334,4.633333333333334,17.0,5.767127078365415
WINGER,449373,16.0,14.736666666666666,2.99,10.0,3.514040955225988
WINGER,460266,9.0,8.576666666666666,3.5233333333333334,10.0,4.204328342505399
WINGER,477555,18.0,16.183333333333334,2.57,8.0,2.7522667256862943
WINGER,523312,13.0,13.393333333333333,4.206666666666667,12.0,5.1666497644201534
WINGER,7550,3.0,5.64,3.0733333333333333,12.0,2.8561498513285586
CF,138876,3.0,4.233333333333333,1.48,8.0,1.7365504832353629
CF,139566,13.0,11.756666666666666,3.39,12.0,4.231288404346611
CF,140867,11.0,10.59,1.9366666666666668,5.0,2.3107788722972864
CF,140886,1.0,2.3,1.3,12.0,2.403314322439217
CF,140887,18.0,16.30666666666667,2.1133333333333333,6.0,2.1009526957203017
CF,143504,12.0,11.006666666666666,6.306666666666667,11.0,6.986845419688175
CF,155347,10.0,9.826666666666666,2.2866666666666666,6.0,2.8219082389852908
CF,155705,8.0,9.923333333333334,5.576666666666667,12.0,6.1582358228952385
CF,312936,5.0,6.6866666666666665,2.1,10.0,2.4154925452883034
CF,3319,4.0,6.033333333333333,3.486666666666667,15.0,4.417079448959114
CF,335508,6.0,7.383333333333334,2.6433333333333335,8.0,3.0265915499545706
CF,360406,22.0,20.793333333333333,1.2066666666666668,5.0,1.4037535285030767
CF,38423,17.0,14.826666666666666,5.3533333333333335,16.0,6.673209721128415
CF,406860,16.0,15.003333333333334,3.3366666666666664,11.0,4.180299659078024
CF,409301,14.0,12.636666666666667,1.47,5.0,1.3406391261050459
CF,442295,9.0,9.313333333333333,2.44,7.0,3.0330105063000765
CF,453613,2.0,4.29,2.3366666666666664,12.0,2.3475383819757876
CF,477684,19.0,16.97,2.8033333333333332,11.0,3.2891480634470676
CF,503286,20.0,18.44333333333333,2.3633333333333333,10.0,3.1400086629764967
CF,522342,15.0,14.9,2.52,7.0,3.106256498011413
CF,524001,7.0,9.523333333333333,5.243333333333333,11.0,5.704201545626931
CF,524392,21.0,20.253333333333334,1.14,8.0,1.6055366856762872
